	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
bcr_5pathway	53	IKBKG, BCL10, BLNK, PTPRC, HRAS, PAG1, PPP3CA, NFKBIB, DAPP1, RASA1, PDPK1, GRB2, DOK1, CD79A, PTPN6, SOS1, TEP1, MAPK3, AKT1, CHUK, MAPK8, PIK3CA, PPP3CC, MAP4K1, TRAF6, IKBKB, LYN, MAP3K7, CARD11, NFATC1, NFKB1, CSNK2A1, PIK3R1, PPP3CB, ETS1, FCGR2B, SH3BP5, MAP3K1, MAPK1, MAP2K1, JUN, RELA, CSK, NFKBIA, SYK, MALT1, PLCG2, FOS, POU2F2, MAPK14, RAC1, RAF1, BTK	-0.0714196751346499	9916	-0.00222211216977994	NA	0.307328731153006	0.000976067547066695	0.0268419975190496	-0.0268419975190496	NA	NA	-0.545998838028553
cd8tcrpathway	41	ORAI1, CSK, IKBKG, RAP1A, LCP2, FYN, CBL, VAV1, PDPK1, HLA-A, ZAP70, PAG1, AKT1, MALT1, TRAF6, CHUK, CD3G, PLCG1, CARD11, MAP3K8, PTPN6, NRAS, IKBKB, CD247, LCK, B2M, RASGRP2, RASSF5, CD3E, SOS1, PRF1, GRAP2, BCL10, HRAS, PRKCE, PRKCQ, STIM1, PRKCA, CD3D, PTPRC, GRB2	-0.0939663411698779	9916	-0.00222211216977994	NA	0.432260254429894	3.56228965392447e-06	0.000345542096430673	-0.000345542096430673	NA	NA	-0.8991683275076
cxcr4_pathway	80	MMP9, HGS, PTPN6, ITGA7, ITGA2, RAC1, TEP1, HLA-DRB1, RALB, ITGAV, PTK2, LCK, LIMK1, PTPRC, PDPK1, RHOC, PLCB2, PTPN11, RHOB, VAV1, RAP1B, PAG1, STAT3, VPS4B, PLCB3, ITCH, GNAO1, FGR, LYN, STAT2, ARRB2, ITGA5, PIK3CB, ITGA4, GNAI3, BAD, ITGA11, GNA13, HLA-DRA, SSH1, PAK1, GNAI1, RHOA, ITGA6, SRC, CD3E, GNG2, GNB1, STAT5B, CXCL12, CRK, PIK3R1, ITGA9, PIK3R2, GRK6, PTK2B, CSK, CD247, VPS4A, CD3D, GNAI2, BCAR1, PIK3CG, PIK3CA, FOXO1, CD4, PXN, UBQLN1, STAT5A, STAT1, YES1, PRKCZ, AKT1, FYN, CD3G, PIK3CD, ITGA3, CDC42, DNM1, JAK2	-0.0456082321368174	9916	-0.00222211216977994	NA	0.204623840258169	0.00125632548215016	0.0268419975190496	-0.0268419975190496	NA	NA	-0.355665991521355
epopathway	25	PTPN11, GRB2, NFKB1, CBL, TEC, CRKL, PLCG2, STAT5A, BCL2L1, MAPK14, STAT5B, PLCG1, MAPK8, IRS2, JAK2, BTK, RAP1A, GAB1, STAT1, RAPGEF1, LYN, PIK3R1, SOS1, PTPN6, HRAS	-0.105022407295821	9916	-0.00222211216977994	NA	0.477958854376765	9.59895158499924e-05	0.00604376202173934	-0.00604376202173934	NA	NA	-0.940853839465305
fcer1pathway	47	SOS1, JUN, GRB2, DOK1, PIK3R1, LYN, HRAS, RASA1, MAP2K1, AKT1, MAPK3, PLA2G4A, RAF1, PAK2, FCGR2B, BTK, LAT2, HCLS1, FYN, MAPK1, RELA, GAB2, SPHK1, CHUK, CBLB, MAP3K1, PTPN11, LCP2, IKBKB, FCER1G, SYK, VAV1, FER, WIPF1, PIK3CA, MAP2K7, CBL, NFATC2, MAP2K2, MAPK8, PLD2, MAP2K4, NFKB1, FOS, PXN, IKBKG, PLCG1	-0.0733331056245757	9916	-0.00222211216977994	NA	0.324551766755641	0.00138360811953864	0.0268419975190496	-0.0268419975190496	NA	NA	-0.579418188560502
il12_2pathway	35	MAP2K6, CD3G, RAB7A, LCK, GZMB, IL18, STAT1, JAK2, ATF2, STAT3, HLA-DRB1, NFKB1, CD4, TYK2, RIPK2, IL1B, RELB, CD247, B2M, HLA-DRA, CD3D, GZMA, NFKB2, PPP3CB, FOS, HLA-A, MAP2K3, STAT5A, RELA, STAT4, CD3E, PPP3CA, MAPK14, STAT6, PPP3R1	-0.100985191588556	9916	-0.00222211216977994	NA	0.465804183714632	0.00012461364993277	0.00604376202173934	-0.00604376202173934	NA	NA	-0.965148038710028
il27pathway	12	IL1B, STAT1, STAT4, STAT3, TYK2, STAT5A, TGFB1, JAK1, JAK2, STAT2, IL18, IL6ST	-0.117942872054411	9916	-0.00222211216977994	NA	0.563567298641925	0.00127087674853343	0.0268419975190496	-0.0268419975190496	NA	NA	-1.38690793922632
il2_1pathway	40	STAM2, IRS2, STAT3, NRAS, HRAS, MAPK1, SOS1, DOK2, RASA1, PIK3CA, STAT1, SYK, MAP2K1, RAF1, PTPN11, JAK1, JAK3, LCK, FYN, STAT5B, IKZF3, PIK3R1, GRB2, GAB2, MAPK9, MAP2K2, JUN, PTK2B, IRS1, MAPK8, STAT5A, PPP2R5D, STAM, MAPKAPK2, MAPK3, CDK2, PRKCE, FOS, MAPK14, RHOA	-0.0624284907739494	9916	-0.00222211216977994	NA	0.264411052843889	0.00103406697355168	0.0268419975190496	-0.0268419975190496	NA	NA	-0.454797458188877
il4_2pathway	33	CEBPB, SELP, CBL, ALOX15, JAK1, JAK2, FES, IGHG1, TFF3, STAT5B, PIK3R1, THY1, STAT5A, MAPK14, PIGR, SPI1, AKT1, ARG1, PTPN6, PARP14, JAK3, IRS2, GRB2, IRS1, RPS6KB1, STAT6, ITGB3, ETS1, SP1, HMGA1, PIK3CA, DOK2, GTF3A	-0.0826451453059592	9916	-0.00222211216977994	NA	0.380144730891	0.00204095036159724	0.0329953641791553	-0.0329953641791553	NA	NA	-0.744530223958702
integrin1_pathway	45	ITGA3, ITGA9, IGSF8, COL5A1, COL11A1, ITGA7, CD81, NID1, VTN, TGFBI, PLAU, LAMB1, COL4A1, COL7A1, LAMA4, ITGA5, THBS2, COL4A5, LAMA2, SPP1, LAMC1, ITGA4, VCAM1, CD14, THBS1, ITGA11, LAMC2, LAMA3, CSPG4, FGA, COL6A1, LAMB3, FBN1, MDK, ITGAV, LAMA5, FGB, COL6A3, TGM2, F13A1, ITGA2, LAMB2, ITGA6, TNC, NPNT	-0.0609914736474157	9916	-0.00222211216977994	NA	0.298960154184035	0.00270500938817941	0.0374837015219147	-0.0374837015219147	NA	NA	-0.616447091148587
nephrin_neph1_pathway	23	PIK3R1, PIK3CB, PIK3CA, TJP1, PLCG1, CD2AP, RAC1, MAPK9, GRB2, PIK3CD, NCK2, MAP2K4, PRKCI, AKT1, FYN, NCK1, BAD, MAPK8, WASL, JUN, PIK3R2, ARRB2, PRKCZ	-0.107395653225197	9916	-0.00222211216977994	NA	0.474761913113633	0.000161082545676372	0.00625000277224323	-0.00625000277224323	NA	NA	-0.844739014255856
