	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
amb2_neutrophils_pathway	31	ITGAM, SELPLG, RAP1A, PLAU, NFKB1, LPA, PLG, SELP, MYH2, ICAM1, LYN, AKT1, MST1R, FYN, ROCK1, TLN1, MST1, ITGB2, THY1, RHOA, SRC, MMP2, JAM3, RAP1B, LRP1, MMP9, HMGB1, LCK, PRKCZ, YES1, FGR	0.0700136158965367	9916	-0.00174012666443997	NA	-0.337336855391742	0.000643824136898674	0.00892156303988163	0.00892156303988163	NA	NA	0.680355592427025
ar_tf_pathway	35	RCHY1, HDAC7, HDAC1, RXRA, APPBP2, POU2F1, NR2C2, NCOA2, FOXO1, MAP2K4, PKN1, CARM1, EP300, GSK3B, HSP90AA1, SENP1, SIRT1, MAPK8, CREBBP, CEBPA, EHMT2, SRC, NR3C1, TRIM24, SMARCE1, REL, KAT5, ZMIZ2, SMARCC1, MAPK14, DNAJA1, JUN, NR2C1, SMARCA2, MAP2K6	-0.0750909069077751	9916	-0.00174012666443997	NA	0.327343975105169	0.00263164591232556	0.025526965349558	-0.025526965349558	NA	NA	-0.58640457689928
arf_3pathway	19	CD4, CLTB, PLD2, ASAP1, PIP5K1A, CLTA, ARFIP2, ARF1, ARFGAP1, KDELR1, RAC1, AP2M1, COPA, USO1, GOSR2, AP2A1, CYTH2, GGA3, GBF1	0.120602856966728	9916	-0.00174012666443997	NA	-0.505934056601771	0.00120810800209847	0.0134011131890047	0.0134011131890047	NA	NA	1.00119492119528
atm_pathway	23	ATM, ABL1, TERF2, TOP3A, CTBP1, UIMC1, BLM, RAD17, BRCA1, KAT5, SMC3, RAD50, UBE2N, RBBP8, FANCD2, BID, XRCC4, YWHAB, NBN, SMC1A, TP53BP1, TRIM28, RAD9A	-0.139676089711177	9916	-0.00174012666443997	NA	0.545881053019275	0.000118734363977246	0.0032906380873694	-0.0032906380873694	NA	NA	-1.04189296925242
atr_pathway	30	HUS1, FBXW11, MCM7, PPP2R1A, RPA2, CLSPN, ATRIP, RAD17, FANCD2, RFC5, MCM2, SMARCAL1, RAD9A, RPA1, TIMELESS, PLK1, RFC3, YWHAB, TOPBP1, NBN, CDK2, ATR, RAD1, RFC4, CHEK1, CCNA2, PPP2CA, TIPIN, RFC2, CEP164	-0.174059658451744	9916	-0.00174012666443997	NA	0.601351351351351	1.17552355038963e-06	0.000114025784387795	-0.000114025784387795	NA	NA	-1.1526855008244
aurora_a_pathway	21	AKT1, CDH1, NDEL1, CDC25B, AURKAIP1, AURKA, PAK1, BRCA1, PPP2R5D, PRKACA, RASA1, AURKB, GIT1, TDRD7, TPX2, GSK3B, DLGAP5, BIRC5, CKAP5, TACC3, NFKBIA	-0.105676393703102	9916	-0.00174012666443997	NA	0.457730651760503	0.00196350155416514	0.0200483842898967	-0.0200483842898967	NA	NA	-1.00007626481687
aurora_b_pathway	26	PPP1CC, KIF23, NCAPH, STMN1, SMC2, RHOA, BIRC5, KIF2C, NCL, CBX5, CDCA8, KLHL9, RACGAP1, AURKA, INCENP, PSMA3, NSUN2, NCAPD2, RASA1, NDC80, NCAPG, AURKB, PPP2R5D, PEBP1, EVI5, CUL3	-0.097111695376001	9916	-0.00174012666443997	NA	0.35640146461042	0.00726292344192458	0.0469669049244456	-0.0469669049244456	NA	NA	-0.62551076232824
avb3_integrin_pathway	52	SPP1, PIK3CA, VCL, COL11A1, IRS1, ILK, COL16A1, F11R, COL5A1, RHOA, COL6A1, PTK2B, VAV3, EDIL3, AKT1, PI4KB, FGF2, PIK3C2A, CSF1R, TLN1, COL8A1, PXN, COL4A5, TGFBR2, COL12A1, MAPK1, COL7A1, COL6A3, CSF1, PI4KA, COL10A1, BCAR1, COL14A1, MAPK3, COL15A1, COL4A1, HSP90AA1, PIK3R1, RPS6KB1, RAC1, PTPN11, SRC, ITGAV, CBL, CDKN1B, COL17A1, MFGE8, ROCK1, IGF1R, SDC1, ITGB3, VTN	0.0743650599106746	9916	-0.00174012666443997	NA	-0.333148446954417	0.00322610736347351	0.0287273063249496	0.0287273063249496	NA	NA	0.720499525841173
bard1pathway	16	TOPBP1, FANCD2, RAD50, ATR, NBN, EWSR1, ATM, BRCA1, PCNA, XRCC5, XRCC6, BARD1, UBE2L3, CDK2, CSTF1, RBBP8	-0.161655878647467	9916	-0.00174012666443997	NA	0.60174213392497	2.32514057373345e-05	0.00108426287871852	-0.00108426287871852	NA	NA	-1.08146914018626
e2f_pathway	52	RBBP4, ATM, CEBPA, CBX5, CREBBP, YY1, POLA1, HIC1, RYBP, RRM2, UXT, RB1, CDK2, WASF1, HDAC1, MCL1, RBL1, PLAU, EP300, KAT2A, HBP1, SULT2A1, RBL2, CES2, TOPBP1, SMARCA2, E2F3, TRIM28, CDKN1A, RANBP1, BRCA1, XRCC1, SERPINE1, RRM1, CDKN2C, CDKN1B, TFDP2, DHFR, TK1, CCNA2, CASP7, SP1, SIRT1, TRRAP, PRMT5, TFE3, TYMS, MCM3, RBBP8, E2F4, TFDP1	-0.0943017817307309	9916	-0.00174012666443997	NA	0.370982923221729	2.79449195546011e-05	0.00108426287871852	-0.00108426287871852	NA	NA	-0.692800768875146
ephbfwdpathway	32	EPHB2, EPHB4, MAPK1, SRC, GRB2, MAP2K1, PXN, CDC42, HRAS, NCK1, RRAS, PAK1, MAPK3, GRB7, SYNJ1, EPHB3, EFNB1, DNM1, MAP4K4, PIK3CA, ROCK1, NRAS, ITSN1, RAP1A, RAC1, RAP1B, EFNB2, PIK3R1, WASL, TF, KALRN, RASA1	0.0535122834798132	9916	-0.00174012666443997	NA	-0.271398497377975	0.00782748785517129	0.0474541451219759	0.0474541451219759	NA	NA	0.388430887688829
fak_pathway	51	ASAP1, JUN, RAP1A, ARHGAP26, PLCG1, MAPK8IP3, ITGA5, CAPN2, MAP2K4, RAC1, GRB7, WASL, ELMO1, GIT2, PXN, PIK3R1, YES1, RAPGEF1, SOS1, FYN, NCK2, VCL, SRC, BRAF, RASA1, ACTA1, RAP1B, DOCK1, RAF1, TLN1, ACTN1, MMP14, PAK1, MAPK9, MAPK8, PIK3CA, ITGAV, GRB2, NCK1, ARHGEF11, RHOA, ITGB5, CCND1, MAP2K1, MAPK1, ETS1, CRK, RRAS, BCAR1, ROCK2, SH3GL1	0.0527198749047283	9916	-0.00174012666443997	NA	-0.240605399077743	0.00325773576880872	0.0287273063249496	0.0287273063249496	NA	NA	0.378359214417251
fanconi_pathway	28	UBE2T, HUS1, RPA2, FBXW11, BRCA1, RAD17, RAD9A, FANCD2, TOPBP1, ATRIP, CHEK1, RFC3, FANCI, TOP3A, RAD1, ATM, RFC4, RAD50, ATR, RPA1, NBN, BLM, RFC5, RMI1, HES1, USP1, WDR48, RFC2	-0.192724907802125	9916	-0.00174012666443997	NA	0.691976891603757	7.78128825817959e-08	1.50956992208684e-05	-1.50956992208684e-05	NA	NA	-1.51514539993419
foxm1pathway	26	CCNA2, CDC25B, CDK4, CENPB, BIRC5, FOS, CCNB2, GSK3A, CCNB1, SKP2, MMP2, CCND1, CREBBP, AURKB, CENPF, CDK2, CKS1B, HSPA1A, LAMA4, MAP2K1, RB1, EP300, SP1, PLK1, XRCC1, NFATC3	-0.115284808262565	9916	-0.00174012666443997	NA	0.470676761721538	6.99942475357318e-06	0.000452629467397732	-0.000452629467397732	NA	NA	-0.737799566735469
hdac_classi_pathway	48	MBD3, CREBBP, SIN3A, CHD3, STAT3, PRKACA, SIRT2, WDR77, FKBP3, SUMO1, SIRT5, YY1, NCOR2, HDAC6, RANGAP1, HDAC1, RANBP2, RELA, NR2C1, RBBP4, RBBP7, HDAC3, NCOR1, SMG5, HDAC10, HDAC4, MBD2, PRMT5, MTA2, NFKB1, NFKBIA, TFCP2, UBE2I, MAX, CHD4, GATAD2B, SIRT3, HDAC2, SAP18, SIN3B, SAP30, SIRT1, HDAC7, SIRT7, GATAD2A, EP300, HDAC8, HDAC5	-0.0747731322258911	9916	-0.00174012666443997	NA	0.312340325400027	0.00111600185469829	0.0134011131890047	-0.0134011131890047	NA	NA	-0.522811467622408
