	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
alphasynuclein_pathway	27	CSNK2A1, PTK2B, PLD1, TOR1A, PARK7, PLCB2, SRC, FYN, MAPK3, BAD, FGR, MAPK1, SYK, FKBP1A, LYN, KLK6, MAOB, PLD2, PPP2R5D, UBE2L3, YES1, PRKCD, LCK, GRK5, UCHL1, STUB1, SNCA	-0.0773678016541415	9916	0.00267144716839185	NA	0.35478762344434	0.000698629946109808	0.00847088809658142	-0.00847088809658142	NA	NA	-0.572802286752362
amb2_neutrophils_pathway	31	ITGAM, SELPLG, RAP1A, PLAU, NFKB1, LPA, PLG, SELP, MYH2, ICAM1, LYN, AKT1, MST1R, FYN, ROCK1, TLN1, MST1, ITGB2, THY1, RHOA, SRC, MMP2, JAM3, RAP1B, LRP1, MMP9, HMGB1, LCK, PRKCZ, YES1, FGR	-0.108944037327514	9916	0.00267144716839185	NA	0.471268331403141	4.29046990437776e-05	0.000924834623832539	-0.000924834623832539	NA	NA	-1.0169954079301
angiopoietinreceptor_pathway	38	MAPK8, ANGPT2, CDKN1A, MAPK1, GRB2, NCK1, PLD2, ITGA5, PXN, RASA1, MAPK3, PLG, MAPK14, PTPN11, FYN, RAC1, AKT1, NOS3, CRK, STAT5A, FGF2, DOK2, ELF1, PIK3R1, STAT5B, RELA, GRB7, GRB14, ELF2, F2, RPS6KB1, NFKB1, MMP2, FES, ETS1, PAK1, PIK3CA, FOXO1	-0.0621357862894021	9916	0.00267144716839185	NA	0.299117853124138	0.00107513441671392	0.0115875598245833	-0.0115875598245833	NA	NA	-0.461750177020001
ar_tf_pathway	35	RCHY1, HDAC7, HDAC1, RXRA, APPBP2, POU2F1, NR2C2, NCOA2, FOXO1, MAP2K4, PKN1, CARM1, EP300, GSK3B, HSP90AA1, SENP1, SIRT1, MAPK8, CREBBP, CEBPA, EHMT2, SRC, NR3C1, TRIM24, SMARCE1, REL, KAT5, ZMIZ2, SMARCC1, MAPK14, DNAJA1, JUN, NR2C1, SMARCA2, MAP2K6	0.0452440154219025	9916	0.00267144716839185	NA	-0.189373595343745	0.00328092693946624	0.0244807625483251	0.0244807625483251	NA	NA	0.316382435035578
avb3_opn_pathway	29	VAV3, SYK, PLAU, MAPK8, ITGB3, MMP9, ROCK2, MAPK3, RELA, PTK2B, CHUK, MMP2, ITGAV, PIK3R1, SPP1, BCAR1, MAP3K1, NFKB1, FOS, CDC42, MAPK1, JUN, NFKBIA, RHOA, RAC1, GSN, PIP5K1A, PIK3CA, ILK	-0.0738331037285317	9916	0.00267144716839185	NA	0.363786843972124	0.000776413918089469	0.00886025294760924	-0.00886025294760924	NA	NA	-0.629571893653458
bcr_5pathway	53	IKBKG, BCL10, BLNK, PTPRC, HRAS, PAG1, PPP3CA, NFKBIB, DAPP1, RASA1, PDPK1, GRB2, DOK1, CD79A, PTPN6, SOS1, TEP1, MAPK3, AKT1, CHUK, MAPK8, PIK3CA, PPP3CC, MAP4K1, TRAF6, IKBKB, LYN, MAP3K7, CARD11, NFATC1, NFKB1, CSNK2A1, PIK3R1, PPP3CB, ETS1, FCGR2B, SH3BP5, MAP3K1, MAPK1, MAP2K1, JUN, RELA, CSK, NFKBIA, SYK, MALT1, PLCG2, FOS, POU2F2, MAPK14, RAC1, RAF1, BTK	-0.0902643624569253	9916	0.00267144716839185	NA	0.400340216307549	1.28519410891315e-05	0.000498655314258301	-0.000498655314258301	NA	NA	-0.720248693836564
cd8tcrdownstreampathway	34	NRAS, CD3G, HLA-A, PRF1, MAP2K2, GZMB, STAT4, PPP3CA, HRAS, PRKCE, NFATC1, FOSL1, PPP3CB, JUN, PRKCQ, RAF1, PPP3R1, NFATC2, MAPK3, MAPK8, FOS, MAPK1, CD3D, NFATC3, CD3E, MAPK9, CD247, JUNB, BRAF, MAP2K1, PTPN7, PRKCA, TNFRSF18, B2M	-0.0984390706570237	9916	0.00267144716839185	NA	0.456161165555371	1.0171768934919e-06	6.57774391124762e-05	-6.57774391124762e-05	NA	NA	-1.02710970541502
cd8tcrpathway	41	ORAI1, CSK, IKBKG, RAP1A, LCP2, FYN, CBL, VAV1, PDPK1, HLA-A, ZAP70, PAG1, AKT1, MALT1, TRAF6, CHUK, CD3G, PLCG1, CARD11, MAP3K8, PTPN6, NRAS, IKBKB, CD247, LCK, B2M, RASGRP2, RASSF5, CD3E, SOS1, PRF1, GRAP2, BCL10, HRAS, PRKCE, PRKCQ, STIM1, PRKCA, CD3D, PTPRC, GRB2	-0.141690102720902	9916	0.00267144716839185	NA	0.585774161493128	3.31281280185891e-09	3.21342841780314e-07	-3.21342841780314e-07	NA	NA	-1.31752014651147
cdc42_pathway	58	ARHGDIA, PLD1, DIAPH3, MAPK8, APC, TNK2, MAP2K3, PIK3CA, EPS8, PRKCE, PAK2, TIAM1, CTNNA1, RPS6KB1, MAPK1, ENAH, MYL2, SRC, LIMK1, MAPK9, ACTR2, BCAR1, ARHGEF6, IQGAP3, MAPK3, ARPC5, PRKCZ, ATF2, PAK4, MAP2K4, ARPC1B, WASL, MAP2K6, PAK1, JUN, RAC1, GSK3B, MAP3K11, CDH1, YES1, BRAF, MAP3K1, ARPC2, DLG1, ACTR3, CTNNB1, RAF1, LIMK2, PIK3R1, ARPC4, MAP2K7, HRAS, CDC42, MAPK14, BAIAP2, IQGAP1, CBL, EXOC7	-0.0528468931474468	9916	0.00267144716839185	NA	0.251641373746366	0.00175435506669885	0.0179128885757672	-0.0179128885757672	NA	NA	-0.42052800733809
cxcr3pathway	31	MAP2K1, GNG2, ITGB2, MAPK14, DNM1, NRAS, MAPK1, PIK3R1, PIK3CB, MAP2K2, GNAI3, PF4, GNAO1, PDPK1, MAP2K6, GNAI2, SRC, PIK3R2, CXCL13, ARRB1, AKT1, CXCL10, HRAS, MAPK3, ITGAL, RAF1, PIK3CA, GNAI1, GNB1, PIK3CD, MAP2K3	-0.0761010533379724	9916	0.00267144716839185	NA	0.336979010787388	0.00575483050138215	0.0372145705756045	-0.0372145705756045	NA	NA	-0.543724395143436
