	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
amb2_neutrophils_pathway	31	ITGAM, SELPLG, RAP1A, PLAU, NFKB1, LPA, PLG, SELP, MYH2, ICAM1, LYN, AKT1, MST1R, FYN, ROCK1, TLN1, MST1, ITGB2, THY1, RHOA, SRC, MMP2, JAM3, RAP1B, LRP1, MMP9, HMGB1, LCK, PRKCZ, YES1, FGR	-0.0994150890486412	9916	-0.000304540488949566	NA	0.435932803289568	0.000107634678609858	0.00174009397085937	-0.00174009397085937	NA	NA	-0.896546513474658
ar_nongenomic_pathway	26	MAPK1, GNAI1, PLCG1, PIK3CA, GNG2, MAPK3, RAC1, HRAS, GNAI2, MAP2K1, AKT1, PELP1, SHBG, SRC, GNAI3, CDC42, RAF1, CREB1, PLCB2, GNAO1, PLCB3, PIK3R1, FOS, GNB1, PLCG2, MAP2K2	-0.0527471282496785	9916	-0.000304540488949566	NA	0.284784497471065	0.0063333646631758	0.0423680256777967	-0.0423680256777967	NA	NA	-0.342532496907795
arf6downstreampathway	12	RAC1, MAPK3, NME1, ARF1, RHOA, PLD1, KALRN, ARF6, MAPK1, PIP5K1A, PLD2, TIAM1	-0.125250731014187	9916	-0.000304540488949566	NA	0.493747478822106	0.00552926327697656	0.038309895561909	-0.038309895561909	NA	NA	-1.0269989048898
avb3_opn_pathway	29	VAV3, SYK, PLAU, MAPK8, ITGB3, MMP9, ROCK2, MAPK3, RELA, PTK2B, CHUK, MMP2, ITGAV, PIK3R1, SPP1, BCAR1, MAP3K1, NFKB1, FOS, CDC42, MAPK1, JUN, NFKBIA, RHOA, RAC1, GSN, PIP5K1A, PIK3CA, ILK	-0.0551026633997173	9916	-0.000304540488949566	NA	0.273323503637451	0.00656968267372005	0.042483947956723	-0.042483947956723	NA	NA	-0.431923506343291
bcr_5pathway	53	IKBKG, BCL10, BLNK, PTPRC, HRAS, PAG1, PPP3CA, NFKBIB, DAPP1, RASA1, PDPK1, GRB2, DOK1, CD79A, PTPN6, SOS1, TEP1, MAPK3, AKT1, CHUK, MAPK8, PIK3CA, PPP3CC, MAP4K1, TRAF6, IKBKB, LYN, MAP3K7, CARD11, NFATC1, NFKB1, CSNK2A1, PIK3R1, PPP3CB, ETS1, FCGR2B, SH3BP5, MAP3K1, MAPK1, MAP2K1, JUN, RELA, CSK, NFKBIA, SYK, MALT1, PLCG2, FOS, POU2F2, MAPK14, RAC1, RAF1, BTK	-0.0821541272454047	9916	-0.000304540488949566	NA	0.366794279494927	6.3461904697526e-05	0.001231160951132	-0.001231160951132	NA	NA	-0.691547822678528
cd40_pathway	20	JAK3, RELA, MAP3K1, STAT5A, TRAF1, MAPK14, JUN, MAPK9, CD40, AKT1, MAPK8, NFKB1, C4BPA, TRAF2, NFKBIA, CBLB, TNFAIP3, TRAF6, BIRC2, MAP2K4	-0.0760085043872769	9916	-0.000304540488949566	NA	0.345290439693425	0.00410375424478415	0.0322059589328863	-0.0322059589328863	NA	NA	-0.595461966007986
cd8tcrdownstreampathway	34	NRAS, CD3G, HLA-A, PRF1, MAP2K2, GZMB, STAT4, PPP3CA, HRAS, PRKCE, NFATC1, FOSL1, PPP3CB, JUN, PRKCQ, RAF1, PPP3R1, NFATC2, MAPK3, MAPK8, FOS, MAPK1, CD3D, NFATC3, CD3E, MAPK9, CD247, JUNB, BRAF, MAP2K1, PTPN7, PRKCA, TNFRSF18, B2M	-0.0801718080205103	9916	-0.000304540488949566	NA	0.355319981966163	0.000498959133727661	0.00604987949644789	-0.00604987949644789	NA	NA	-0.85547357056279
cd8tcrpathway	41	ORAI1, CSK, IKBKG, RAP1A, LCP2, FYN, CBL, VAV1, PDPK1, HLA-A, ZAP70, PAG1, AKT1, MALT1, TRAF6, CHUK, CD3G, PLCG1, CARD11, MAP3K8, PTPN6, NRAS, IKBKB, CD247, LCK, B2M, RASGRP2, RASSF5, CD3E, SOS1, PRF1, GRAP2, BCL10, HRAS, PRKCE, PRKCQ, STIM1, PRKCA, CD3D, PTPRC, GRB2	-0.113550260314441	9916	-0.000304540488949566	NA	0.49766821790848	5.85476224168602e-08	1.13582387488709e-05	-1.13582387488709e-05	NA	NA	-1.31266990447998
cdc42_pathway	58	ARHGDIA, PLD1, DIAPH3, MAPK8, APC, TNK2, MAP2K3, PIK3CA, EPS8, PRKCE, PAK2, TIAM1, CTNNA1, RPS6KB1, MAPK1, ENAH, MYL2, SRC, LIMK1, MAPK9, ACTR2, BCAR1, ARHGEF6, IQGAP3, MAPK3, ARPC5, PRKCZ, ATF2, PAK4, MAP2K4, ARPC1B, WASL, MAP2K6, PAK1, JUN, RAC1, GSK3B, MAP3K11, CDH1, YES1, BRAF, MAP3K1, ARPC2, DLG1, ACTR3, CTNNB1, RAF1, LIMK2, PIK3R1, ARPC4, MAP2K7, HRAS, CDC42, MAPK14, BAIAP2, IQGAP1, CBL, EXOC7	-0.0777405754311268	9916	-0.000304540488949566	NA	0.34435117052204	2.59421030959217e-05	0.000629096000076101	-0.000629096000076101	NA	NA	-0.533842695881436
cxcr4_pathway	80	MMP9, HGS, PTPN6, ITGA7, ITGA2, RAC1, TEP1, HLA-DRB1, RALB, ITGAV, PTK2, LCK, LIMK1, PTPRC, PDPK1, RHOC, PLCB2, PTPN11, RHOB, VAV1, RAP1B, PAG1, STAT3, VPS4B, PLCB3, ITCH, GNAO1, FGR, LYN, STAT2, ARRB2, ITGA5, PIK3CB, ITGA4, GNAI3, BAD, ITGA11, GNA13, HLA-DRA, SSH1, PAK1, GNAI1, RHOA, ITGA6, SRC, CD3E, GNG2, GNB1, STAT5B, CXCL12, CRK, PIK3R1, ITGA9, PIK3R2, GRK6, PTK2B, CSK, CD247, VPS4A, CD3D, GNAI2, BCAR1, PIK3CG, PIK3CA, FOXO1, CD4, PXN, UBQLN1, STAT5A, STAT1, YES1, PRKCZ, AKT1, FYN, CD3G, PIK3CD, ITGA3, CDC42, DNM1, JAK2	-0.0639438040153968	9916	-0.000304540488949566	NA	0.293303751512707	1.59499437215604e-05	0.000497276281016098	-0.000497276281016098	NA	NA	-0.529003893681498
endothelinpathway	39	PLCB3, MAPK14, MMP1, SLC9A1, FOS, SRC, PTK2B, PRKCQ, PLA2G4A, BCAR1, ADCY7, GNA12, GNAQ, AKT1, MAP2K1, GNA11, GNAO1, GNA15, CRK, MAP2K2, GNAI1, PRKCE, RAF1, RHOA, JUN, JAK2, PRKCH, PRKCD, CDC42, GNAI2, ADCY3, MAPK8, RAC1, GNAI3, MAPK1, HRAS, PLCB2, MAPK3, PRKCA	-0.0885161840861229	9916	-0.000304540488949566	NA	0.379055864130491	3.5302753281341e-05	0.000760970459620018	-0.000760970459620018	NA	NA	-0.795564088560137
epopathway	25	PTPN11, GRB2, NFKB1, CBL, TEC, CRKL, PLCG2, STAT5A, BCL2L1, MAPK14, STAT5B, PLCG1, MAPK8, IRS2, JAK2, BTK, RAP1A, GAB1, STAT1, RAPGEF1, LYN, PIK3R1, SOS1, PTPN6, HRAS	-0.10162697938917	9916	-0.000304540488949566	NA	0.434868898749496	0.000317117992460481	0.00410139270248888	-0.00410139270248888	NA	NA	-0.952729970040704
erbb1_downstream_pathway	83	PLD1, PRKCD, PPP2R1A, MAPK8, PIK3CA, EPS8, MAP3K2, HRAS, NCKAP1, BAIAP2, PEBP1, WASF2, GRB2, YWHAQ, RIN1, ATF2, STAT1, YWHAH, BRAF, PRKCZ, PPP2CA, RAB5A, RAF1, USP6NL, RAC1, BAD, CREB1, CYFIP2, PRKCA, SH2D2A, PPP2R2A, PIK3R2, SMAD1, MAPK3, MAPK9, MAP3K1, RALA, MAP2K2, ARPC1B, ACTR2, YWHAG, YWHAB, ARF4, SRC, IQGAP1, SLC9A1, JUN, PLD2, PDPK1, SOS1, AKT1, GAB1, NRAS, MEF2C, RPS6KA4, MAP2K5, PPP5C, YWHAE, ATF1, MAPK1, ARPC4, CDC42, CAPN2, MAPK7, STAT3, KSR1, PIK3R1, ARPC2, SFN, ZFP36, DIAPH3, RPS6KA5, ACTR3, RPS6KA3, RPS6, WASL, SRF, MAP2K1, FOS, MAP2K4, PIK3CD, PIK3CB, ARPC5	-0.0723050720105176	9916	-0.000304540488949566	NA	0.315245653853818	1.78159515051846e-06	0.000115209819733527	-0.000115209819733527	NA	NA	-0.564109584139321
fcer1pathway	47	SOS1, JUN, GRB2, DOK1, PIK3R1, LYN, HRAS, RASA1, MAP2K1, AKT1, MAPK3, PLA2G4A, RAF1, PAK2, FCGR2B, BTK, LAT2, HCLS1, FYN, MAPK1, RELA, GAB2, SPHK1, CHUK, CBLB, MAP3K1, PTPN11, LCP2, IKBKB, FCER1G, SYK, VAV1, FER, WIPF1, PIK3CA, MAP2K7, CBL, NFATC2, MAP2K2, MAPK8, PLD2, MAP2K4, NFKB1, FOS, PXN, IKBKG, PLCG1	-0.0708702772753872	9916	-0.000304540488949566	NA	0.305099001828122	0.00323330843602054	0.027272253764695	-0.027272253764695	NA	NA	-0.545975278092634
il12_2pathway	35	MAP2K6, CD3G, RAB7A, LCK, GZMB, IL18, STAT1, JAK2, ATF2, STAT3, HLA-DRB1, NFKB1, CD4, TYK2, RIPK2, IL1B, RELB, CD247, B2M, HLA-DRA, CD3D, GZMA, NFKB2, PPP3CB, FOS, HLA-A, MAP2K3, STAT5A, RELA, STAT4, CD3E, PPP3CA, MAPK14, STAT6, PPP3R1	-0.0855272083761877	9916	-0.000304540488949566	NA	0.386140724946695	0.000121898591242675	0.00181910205392915	-0.00181910205392915	NA	NA	-0.701733907680528
il12_stat4pathway	21	MAPK9, MAPK8, CD247, PPP3CB, PPP3R1, HLA-DRB1, JUN, IL18, CREBBP, PIAS2, HLA-DRA, TGFB1, CD3G, CD3E, CD4, CD3D, PRF1, FOS, STAT4, STAT3, PPP3CA	-0.0614953457447038	9916	-0.000304540488949566	NA	0.299314239612747	0.0049515479850688	0.0355777892260499	-0.0355777892260499	NA	NA	-0.648056992510788
il8cxcr1_pathway	19	GNB1, PDPK1, RAB5A, PRKCA, CBL, PLCB2, LYN, GNAI2, GNA15, PLD1, ARRB2, DNM1, PLCB3, PRKCE, GNG2, FGR, PIK3CG, AKT1, ARRB1	-0.109393614859237	9916	-0.000304540488949566	NA	0.477675633213732	9.95031279154013e-05	0.00174009397085937	-0.00174009397085937	NA	NA	-1.05221751964811
