	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
alphasynuclein_pathway	27	CSNK2A1, PTK2B, PLD1, TOR1A, PARK7, PLCB2, SRC, FYN, MAPK3, BAD, FGR, MAPK1, SYK, FKBP1A, LYN, KLK6, MAOB, PLD2, PPP2R5D, UBE2L3, YES1, PRKCD, LCK, GRK5, UCHL1, STUB1, SNCA	-0.0842010369286222	9916	0.00212482351290429	NA	0.343485276321097	0.00147567671209825	0.00954270940490202	-0.00954270940490202	NA	NA	-0.621327328459622
amb2_neutrophils_pathway	31	ITGAM, SELPLG, RAP1A, PLAU, NFKB1, LPA, PLG, SELP, MYH2, ICAM1, LYN, AKT1, MST1R, FYN, ROCK1, TLN1, MST1, ITGB2, THY1, RHOA, SRC, MMP2, JAM3, RAP1B, LRP1, MMP9, HMGB1, LCK, PRKCZ, YES1, FGR	-0.131037870979073	9916	0.00212482351290429	NA	0.512791318039272	3.93462307590742e-06	9.54146095907549e-05	-9.54146095907549e-05	NA	NA	-1.24011281345344
angiopoietinreceptor_pathway	38	MAPK8, ANGPT2, CDKN1A, MAPK1, GRB2, NCK1, PLD2, ITGA5, PXN, RASA1, MAPK3, PLG, MAPK14, PTPN11, FYN, RAC1, AKT1, NOS3, CRK, STAT5A, FGF2, DOK2, ELF1, PIK3R1, STAT5B, RELA, GRB7, GRB14, ELF2, F2, RPS6KB1, NFKB1, MMP2, FES, ETS1, PAK1, PIK3CA, FOXO1	-0.075099048109516	9916	0.00212482351290429	NA	0.304728137406849	0.0051194777419985	0.0225722427715388	-0.0225722427715388	NA	NA	-0.502644126402164
anthraxpathway	16	MAP2K4, MAP2K1, IL1B, CASP1, VCAM1, DEFA1, MAP2K2, ATR, ANTXR2, MAPK1, MAPK3, MAP2K3, NLRP1, IL18, MAP2K7, MAP2K6	-0.0742157010464466	9916	0.00212482351290429	NA	0.343951694231545	0.00404448072978103	0.019615731539438	-0.019615731539438	NA	NA	-0.61875025933869
ar_nongenomic_pathway	26	MAPK1, GNAI1, PLCG1, PIK3CA, GNG2, MAPK3, RAC1, HRAS, GNAI2, MAP2K1, AKT1, PELP1, SHBG, SRC, GNAI3, CDC42, RAF1, CREB1, PLCB2, GNAO1, PLCB3, PIK3R1, FOS, GNB1, PLCG2, MAP2K2	-0.07883846377902	9916	0.00212482351290429	NA	0.348279393055512	0.00257623701661369	0.0135078373303529	-0.0135078373303529	NA	NA	-0.469880576596857
avb3_opn_pathway	29	VAV3, SYK, PLAU, MAPK8, ITGB3, MMP9, ROCK2, MAPK3, RELA, PTK2B, CHUK, MMP2, ITGAV, PIK3R1, SPP1, BCAR1, MAP3K1, NFKB1, FOS, CDC42, MAPK1, JUN, NFKBIA, RHOA, RAC1, GSN, PIP5K1A, PIK3CA, ILK	-0.0737947885016979	9916	0.00212482351290429	NA	0.322293472061871	0.00622903567240063	0.0268540648987938	-0.0268540648987938	NA	NA	-0.558087468086902
bcr_5pathway	53	IKBKG, BCL10, BLNK, PTPRC, HRAS, PAG1, PPP3CA, NFKBIB, DAPP1, RASA1, PDPK1, GRB2, DOK1, CD79A, PTPN6, SOS1, TEP1, MAPK3, AKT1, CHUK, MAPK8, PIK3CA, PPP3CC, MAP4K1, TRAF6, IKBKB, LYN, MAP3K7, CARD11, NFATC1, NFKB1, CSNK2A1, PIK3R1, PPP3CB, ETS1, FCGR2B, SH3BP5, MAP3K1, MAPK1, MAP2K1, JUN, RELA, CSK, NFKBIA, SYK, MALT1, PLCG2, FOS, POU2F2, MAPK14, RAC1, RAF1, BTK	-0.115973153119046	9916	0.00212482351290429	NA	0.455189630633168	9.39347096773346e-08	4.55583341935073e-06	-4.55583341935073e-06	NA	NA	-0.868158787976261
cd40_pathway	20	JAK3, RELA, MAP3K1, STAT5A, TRAF1, MAPK14, JUN, MAPK9, CD40, AKT1, MAPK8, NFKB1, C4BPA, TRAF2, NFKBIA, CBLB, TNFAIP3, TRAF6, BIRC2, MAP2K4	-0.102337836839858	9916	0.00212482351290429	NA	0.400473981444131	0.000843716937939831	0.00564417537794232	-0.00564417537794232	NA	NA	-0.68543411262961
cd8tcrdownstreampathway	34	NRAS, CD3G, HLA-A, PRF1, MAP2K2, GZMB, STAT4, PPP3CA, HRAS, PRKCE, NFATC1, FOSL1, PPP3CB, JUN, PRKCQ, RAF1, PPP3R1, NFATC2, MAPK3, MAPK8, FOS, MAPK1, CD3D, NFATC3, CD3E, MAPK9, CD247, JUNB, BRAF, MAP2K1, PTPN7, PRKCA, TNFRSF18, B2M	-0.125471531000003	9916	0.00212482351290429	NA	0.503499988135633	2.11549511053288e-06	6.84010085738966e-05	-6.84010085738966e-05	NA	NA	-1.30055892539272
cd8tcrpathway	41	ORAI1, CSK, IKBKG, RAP1A, LCP2, FYN, CBL, VAV1, PDPK1, HLA-A, ZAP70, PAG1, AKT1, MALT1, TRAF6, CHUK, CD3G, PLCG1, CARD11, MAP3K8, PTPN6, NRAS, IKBKB, CD247, LCK, B2M, RASGRP2, RASSF5, CD3E, SOS1, PRF1, GRAP2, BCL10, HRAS, PRKCE, PRKCQ, STIM1, PRKCA, CD3D, PTPRC, GRB2	-0.16622314788254	9916	0.00212482351290429	NA	0.627165753303358	2.77919909308366e-11	2.69582312029115e-09	-2.69582312029115e-09	NA	NA	-1.64097779357256
