	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
amb2_neutrophils_pathway	31	ITGAM, SELPLG, RAP1A, PLAU, NFKB1, LPA, PLG, SELP, MYH2, ICAM1, LYN, AKT1, MST1R, FYN, ROCK1, TLN1, MST1, ITGB2, THY1, RHOA, SRC, MMP2, JAM3, RAP1B, LRP1, MMP9, HMGB1, LCK, PRKCZ, YES1, FGR	-0.0954420770401441	9916	0.000436811523164112	NA	0.472855860193366	2.17167536420426e-06	0.000140435006885209	-0.000140435006885209	NA	NA	-1.04183401212131
bcr_5pathway	53	IKBKG, BCL10, BLNK, PTPRC, HRAS, PAG1, PPP3CA, NFKBIB, DAPP1, RASA1, PDPK1, GRB2, DOK1, CD79A, PTPN6, SOS1, TEP1, MAPK3, AKT1, CHUK, MAPK8, PIK3CA, PPP3CC, MAP4K1, TRAF6, IKBKB, LYN, MAP3K7, CARD11, NFATC1, NFKB1, CSNK2A1, PIK3R1, PPP3CB, ETS1, FCGR2B, SH3BP5, MAP3K1, MAPK1, MAP2K1, JUN, RELA, CSK, NFKBIA, SYK, MALT1, PLCG2, FOS, POU2F2, MAPK14, RAC1, RAF1, BTK	-0.0804766962479174	9916	0.000436811523164112	NA	0.402707269364549	5.87157321274567e-06	0.000227817040654532	-0.000227817040654532	NA	NA	-0.690864068056964
cd8tcrdownstreampathway	34	NRAS, CD3G, HLA-A, PRF1, MAP2K2, GZMB, STAT4, PPP3CA, HRAS, PRKCE, NFATC1, FOSL1, PPP3CB, JUN, PRKCQ, RAF1, PPP3R1, NFATC2, MAPK3, MAPK8, FOS, MAPK1, CD3D, NFATC3, CD3E, MAPK9, CD247, JUNB, BRAF, MAP2K1, PTPN7, PRKCA, TNFRSF18, B2M	-0.0663114278521423	9916	0.000436811523164112	NA	0.325920081626842	0.0021474796614015	0.0231450585728828	-0.0231450585728828	NA	NA	-0.633094086581746
cd8tcrpathway	41	ORAI1, CSK, IKBKG, RAP1A, LCP2, FYN, CBL, VAV1, PDPK1, HLA-A, ZAP70, PAG1, AKT1, MALT1, TRAF6, CHUK, CD3G, PLCG1, CARD11, MAP3K8, PTPN6, NRAS, IKBKB, CD247, LCK, B2M, RASGRP2, RASSF5, CD3E, SOS1, PRF1, GRAP2, BCL10, HRAS, PRKCE, PRKCQ, STIM1, PRKCA, CD3D, PTPRC, GRB2	-0.121233248450497	9916	0.000436811523164112	NA	0.595509597693799	1.0329270772047e-10	2.00387852977713e-08	-2.00387852977713e-08	NA	NA	-1.54490139168792
cdc42_pathway	58	ARHGDIA, PLD1, DIAPH3, MAPK8, APC, TNK2, MAP2K3, PIK3CA, EPS8, PRKCE, PAK2, TIAM1, CTNNA1, RPS6KB1, MAPK1, ENAH, MYL2, SRC, LIMK1, MAPK9, ACTR2, BCAR1, ARHGEF6, IQGAP3, MAPK3, ARPC5, PRKCZ, ATF2, PAK4, MAP2K4, ARPC1B, WASL, MAP2K6, PAK1, JUN, RAC1, GSK3B, MAP3K11, CDH1, YES1, BRAF, MAP3K1, ARPC2, DLG1, ACTR3, CTNNB1, RAF1, LIMK2, PIK3R1, ARPC4, MAP2K7, HRAS, CDC42, MAPK14, BAIAP2, IQGAP1, CBL, EXOC7	-0.0400802206039114	9916	0.000436811523164112	NA	0.218372258001697	0.0038365009239103	0.0372140589619299	-0.0372140589619299	NA	NA	-0.333845890632975
cxcr3pathway	31	MAP2K1, GNG2, ITGB2, MAPK14, DNM1, NRAS, MAPK1, PIK3R1, PIK3CB, MAP2K2, GNAI3, PF4, GNAO1, PDPK1, MAP2K6, GNAI2, SRC, PIK3R2, CXCL13, ARRB1, AKT1, CXCL10, HRAS, MAPK3, ITGAL, RAF1, PIK3CA, GNAI1, GNB1, PIK3CD, MAP2K3	-0.0581929066344882	9916	0.000436811523164112	NA	0.309620164218142	0.00463802460629925	0.0409012860525954	-0.0409012860525954	NA	NA	-0.432871126199993
cxcr4_pathway	80	MMP9, HGS, PTPN6, ITGA7, ITGA2, RAC1, TEP1, HLA-DRB1, RALB, ITGAV, PTK2, LCK, LIMK1, PTPRC, PDPK1, RHOC, PLCB2, PTPN11, RHOB, VAV1, RAP1B, PAG1, STAT3, VPS4B, PLCB3, ITCH, GNAO1, FGR, LYN, STAT2, ARRB2, ITGA5, PIK3CB, ITGA4, GNAI3, BAD, ITGA11, GNA13, HLA-DRA, SSH1, PAK1, GNAI1, RHOA, ITGA6, SRC, CD3E, GNG2, GNB1, STAT5B, CXCL12, CRK, PIK3R1, ITGA9, PIK3R2, GRK6, PTK2B, CSK, CD247, VPS4A, CD3D, GNAI2, BCAR1, PIK3CG, PIK3CA, FOXO1, CD4, PXN, UBQLN1, STAT5A, STAT1, YES1, PRKCZ, AKT1, FYN, CD3G, PIK3CD, ITGA3, CDC42, DNM1, JAK2	-0.0498475367181609	9916	0.000436811523164112	NA	0.263228620411456	0.00046860441090657	0.00909092557158746	-0.00909092557158746	NA	NA	-0.427735567721559
epopathway	25	PTPN11, GRB2, NFKB1, CBL, TEC, CRKL, PLCG2, STAT5A, BCL2L1, MAPK14, STAT5B, PLCG1, MAPK8, IRS2, JAK2, BTK, RAP1A, GAB1, STAT1, RAPGEF1, LYN, PIK3R1, SOS1, PTPN6, HRAS	-0.115502314674283	9916	0.000436811523164112	NA	0.563598225090763	4.45421038197669e-06	0.000216029203525869	-0.000216029203525869	NA	NA	-1.10462634331292
erbb1_downstream_pathway	83	PLD1, PRKCD, PPP2R1A, MAPK8, PIK3CA, EPS8, MAP3K2, HRAS, NCKAP1, BAIAP2, PEBP1, WASF2, GRB2, YWHAQ, RIN1, ATF2, STAT1, YWHAH, BRAF, PRKCZ, PPP2CA, RAB5A, RAF1, USP6NL, RAC1, BAD, CREB1, CYFIP2, PRKCA, SH2D2A, PPP2R2A, PIK3R2, SMAD1, MAPK3, MAPK9, MAP3K1, RALA, MAP2K2, ARPC1B, ACTR2, YWHAG, YWHAB, ARF4, SRC, IQGAP1, SLC9A1, JUN, PLD2, PDPK1, SOS1, AKT1, GAB1, NRAS, MEF2C, RPS6KA4, MAP2K5, PPP5C, YWHAE, ATF1, MAPK1, ARPC4, CDC42, CAPN2, MAPK7, STAT3, KSR1, PIK3R1, ARPC2, SFN, ZFP36, DIAPH3, RPS6KA5, ACTR3, RPS6KA3, RPS6, WASL, SRF, MAP2K1, FOS, MAP2K4, PIK3CD, PIK3CB, ARPC5	-0.0443931162528884	9916	0.000436811523164112	NA	0.227795409147684	0.00359704352724377	0.0367277075939627	-0.0367277075939627	NA	NA	-0.429696518222529
fcer1pathway	47	SOS1, JUN, GRB2, DOK1, PIK3R1, LYN, HRAS, RASA1, MAP2K1, AKT1, MAPK3, PLA2G4A, RAF1, PAK2, FCGR2B, BTK, LAT2, HCLS1, FYN, MAPK1, RELA, GAB2, SPHK1, CHUK, CBLB, MAP3K1, PTPN11, LCP2, IKBKB, FCER1G, SYK, VAV1, FER, WIPF1, PIK3CA, MAP2K7, CBL, NFATC2, MAP2K2, MAPK8, PLD2, MAP2K4, NFKB1, FOS, PXN, IKBKG, PLCG1	-0.0682350907208063	9916	0.000436811523164112	NA	0.338846308995563	0.00029459957028477	0.00635025740391616	-0.00635025740391616	NA	NA	-0.548593621388513
