	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
arf6downstreampathway	12	RAC1, MAPK3, NME1, ARF1, RHOA, PLD1, KALRN, ARF6, MAPK1, PIP5K1A, PLD2, TIAM1	0.25368783182777	9916	0.00892489718392868	NA	-0.700685760387253	5.41611358020333e-05	0.00350242011519815	0.00350242011519815	NA	NA	3.07944572064463
ecadherin_nascentaj_pathway	35	ITGAE, TJP1, CYFIP2, RAPGEF1, CTTN, CRK, TIAM1, PIP5K1C, CTNNA1, WASF2, JUP, CSNK2B, DLG1, CSNK2A1, IQGAP1, ITGB7, KLHL20, PIK3CA, ARF6, ENAH, RHOA, RAC1, CSNK2A2, CTNNB1, PIK3R1, SRC, NME1, RAP1B, NCKAP1, RAP1A, CCND1, CDH1, AP1M1, CDC42, AKT1	0.140799359598727	9916	0.00892489718392868	NA	-0.352653719817899	0.000527226662324853	0.0113646636101135	0.0113646636101135	NA	NA	0.622568898439764
erbb1_downstream_pathway	83	PLD1, PRKCD, PPP2R1A, MAPK8, PIK3CA, EPS8, MAP3K2, HRAS, NCKAP1, BAIAP2, PEBP1, WASF2, GRB2, YWHAQ, RIN1, ATF2, STAT1, YWHAH, BRAF, PRKCZ, PPP2CA, RAB5A, RAF1, USP6NL, RAC1, BAD, CREB1, CYFIP2, PRKCA, SH2D2A, PPP2R2A, PIK3R2, SMAD1, MAPK3, MAPK9, MAP3K1, RALA, MAP2K2, ARPC1B, ACTR2, YWHAG, YWHAB, ARF4, SRC, IQGAP1, SLC9A1, JUN, PLD2, PDPK1, SOS1, AKT1, GAB1, NRAS, MEF2C, RPS6KA4, MAP2K5, PPP5C, YWHAE, ATF1, MAPK1, ARPC4, CDC42, CAPN2, MAPK7, STAT3, KSR1, PIK3R1, ARPC2, SFN, ZFP36, DIAPH3, RPS6KA5, ACTR3, RPS6KA3, RPS6, WASL, SRF, MAP2K1, FOS, MAP2K4, PIK3CD, PIK3CB, ARPC5	0.0960244250112618	9916	0.00892489718392868	NA	-0.238555674898059	0.000186471527422682	0.00452193454000005	0.00452193454000005	NA	NA	0.446441189547292
integrin1_pathway	45	ITGA3, ITGA9, IGSF8, COL5A1, COL11A1, ITGA7, CD81, NID1, VTN, TGFBI, PLAU, LAMB1, COL4A1, COL7A1, LAMA4, ITGA5, THBS2, COL4A5, LAMA2, SPP1, LAMC1, ITGA4, VCAM1, CD14, THBS1, ITGA11, LAMC2, LAMA3, CSPG4, FGA, COL6A1, LAMB3, FBN1, MDK, ITGAV, LAMA5, FGB, COL6A3, TGM2, F13A1, ITGA2, LAMB2, ITGA6, TNC, NPNT	-0.216360975470306	9916	0.00892489718392868	NA	0.632714804356595	1.55764290354909e-13	3.02182723288524e-11	-3.02182723288524e-11	NA	NA	-1.5839971125911
integrin2_pathway	22	TGFBI, F10, FGA, FCGR2A, ITGAL, ICAM3, SPON2, KNG1, JAM3, GP1BA, C3, VCAM1, ICAM1, PLAU, ITGAM, ITGB2, ITGAX, ICAM2, F11R, FGB, PROC, THY1	-0.155397721452946	9916	0.00892489718392868	NA	0.491427995159338	7.42712668080348e-05	0.0035088288672624	-0.0035088288672624	NA	NA	-1.30215956948777
integrin3_pathway	29	COL4A5, LAMB1, L1CAM, ITGA2B, LAMA4, COL4A1, EDIL3, F11R, FBN1, PDGFRB, FGB, SPHK1, TGFBR2, ITGB3, SPP1, LAMC1, TGFBI, TNC, VTN, PLAU, ITGAV, CD47, HMGB1, FGA, THY1, THBS1, SDC4, PVR, SDC1	-0.130049272302253	9916	0.00892489718392868	NA	0.402595596110779	0.000167094313501037	0.00452193454000005	-0.00452193454000005	NA	NA	-0.653528012029598
integrin4_pathway	10	LAMB3, LAMC1, LAMC2, LAMB1, LAMA2, ITGB4, LAMA3, LAMB2, LAMA5, ITGA6	-0.28823353225627	9916	0.00892489718392868	NA	0.814945542557483	1.2574509339669e-05	0.00121972740594789	-0.00121972740594789	NA	NA	-3.42122045581532
integrin_cs_pathway	20	ITGA2B, ITGA3, ITGA5, ITGAE, ITGAL, ITGAM, ITGB5, ITGB8, ITGA11, ITGB4, ITGA6, ITGA2, ITGB2, ITGB3, ITGAV, ITGB6, ITGB7, ITGA9, ITGA4, ITGAX	-0.186966484451879	9916	0.00892489718392868	NA	0.570512303348124	9.043373369233e-05	0.0035088288672624	-0.0035088288672624	NA	NA	-1.63557244423267
lis1pathway	23	CSNK2A1, LRPAP1, IQGAP1, LRP8, PLA2G7, CLIP1, YWHAE, MAP1B, RAC1, RHOA, PAFAH1B3, PAFAH1B1, DYNLT1, KATNA1, NDEL1, PPP2R5D, VLDLR, PAFAH1B2, CDK5, DYNC1H1, CDC42, ABL1, NUDC	0.128426966188531	9916	0.00892489718392868	NA	-0.36217268533946	0.00103151270956281	0.0181921332413805	0.0181921332413805	NA	NA	0.5430238191687
plexind1_pathway	16	SEMA4A, RRAS, ITGA7, ITGA11, ARF6, ITGA9, NRP1, ITGA5, ITGA6, ITGA3, ITGA4, ITGA2, PLXND1, ITGAV, IQSEC1, SEMA3C	-0.210711621211035	9916	0.00892489718392868	NA	0.590838039532069	0.000150078840822854	0.00452193454000005	-0.00452193454000005	NA	NA	-1.11917947894142
syndecan_1_pathway	30	COL11A1, COL10A1, MET, COL17A1, PPIB, TGFB1, COL4A5, MMP9, COL16A1, COL5A1, LAMA5, SDCBP, COL14A1, PRKACA, COL6A1, MAPK3, CCL5, HPSE, MAPK1, MMP7, COL7A1, COL4A1, MMP1, COL6A3, SDC1, COL12A1, COL15A1, BSG, CASK, COL8A1	-0.10776406972323	9916	0.00892489718392868	NA	0.327840527094258	0.0013675126760947	0.0221081215968642	-0.0221081215968642	NA	NA	-0.504124623812125
upa_upar_pathway	29	MMP12, FGA, ITGA5, ITGA3, ITGB5, ITGB3, SRC, NCL, LRP1, MMP9, ITGAM, FGB, SERPINE1, RAC1, MMP3, PDGFD, VLDLR, VTN, PLAU, MMP13, CRK, CTSG, DOCK1, PDGFRB, PLG, ITGAV, ITGB2, BCAR1, TGFB1	-0.161289586757646	9916	0.00892489718392868	NA	0.463785452977424	0.000661121297928835	0.0128257531798194	-0.0128257531798194	NA	NA	-0.852792324573788
