	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
alphasynuclein_pathway	27	CSNK2A1, PTK2B, PLD1, TOR1A, PARK7, PLCB2, SRC, FYN, MAPK3, BAD, FGR, MAPK1, SYK, FKBP1A, LYN, KLK6, MAOB, PLD2, PPP2R5D, UBE2L3, YES1, PRKCD, LCK, GRK5, UCHL1, STUB1, SNCA	-0.089976431408293	9916	-0.00326815135983744	NA	0.330860711457726	0.00524683108698665	0.0424118846198087	-0.0424118846198087	NA	NA	-0.608243952995832
amb2_neutrophils_pathway	31	ITGAM, SELPLG, RAP1A, PLAU, NFKB1, LPA, PLG, SELP, MYH2, ICAM1, LYN, AKT1, MST1R, FYN, ROCK1, TLN1, MST1, ITGB2, THY1, RHOA, SRC, MMP2, JAM3, RAP1B, LRP1, MMP9, HMGB1, LCK, PRKCZ, YES1, FGR	-0.114945642632025	9916	-0.00326815135983744	NA	0.440604301942771	3.24479424798074e-05	0.00104915014018044	-0.00104915014018044	NA	NA	-0.929278669898728
angiopoietinreceptor_pathway	38	MAPK8, ANGPT2, CDKN1A, MAPK1, GRB2, NCK1, PLD2, ITGA5, PXN, RASA1, MAPK3, PLG, MAPK14, PTPN11, FYN, RAC1, AKT1, NOS3, CRK, STAT5A, FGF2, DOK2, ELF1, PIK3R1, STAT5B, RELA, GRB7, GRB14, ELF2, F2, RPS6KB1, NFKB1, MMP2, FES, ETS1, PAK1, PIK3CA, FOXO1	-0.0713786239026072	9916	-0.00326815135983744	NA	0.279426126833825	0.00470697141210408	0.0397022806064431	-0.0397022806064431	NA	NA	-0.434037689742884
bcr_5pathway	53	IKBKG, BCL10, BLNK, PTPRC, HRAS, PAG1, PPP3CA, NFKBIB, DAPP1, RASA1, PDPK1, GRB2, DOK1, CD79A, PTPN6, SOS1, TEP1, MAPK3, AKT1, CHUK, MAPK8, PIK3CA, PPP3CC, MAP4K1, TRAF6, IKBKB, LYN, MAP3K7, CARD11, NFATC1, NFKB1, CSNK2A1, PIK3R1, PPP3CB, ETS1, FCGR2B, SH3BP5, MAP3K1, MAPK1, MAP2K1, JUN, RELA, CSK, NFKBIA, SYK, MALT1, PLCG2, FOS, POU2F2, MAPK14, RAC1, RAF1, BTK	-0.0849049967232542	9916	-0.00326815135983744	NA	0.317653192477186	0.00029558913514216	0.00713544727325487	-0.00713544727325487	NA	NA	-0.539950937844498
cd8tcrdownstreampathway	34	NRAS, CD3G, HLA-A, PRF1, MAP2K2, GZMB, STAT4, PPP3CA, HRAS, PRKCE, NFATC1, FOSL1, PPP3CB, JUN, PRKCQ, RAF1, PPP3R1, NFATC2, MAPK3, MAPK8, FOS, MAPK1, CD3D, NFATC3, CD3E, MAPK9, CD247, JUNB, BRAF, MAP2K1, PTPN7, PRKCA, TNFRSF18, B2M	-0.101622433624232	9916	-0.00326815135983744	NA	0.390960539116817	0.00033102590442935	0.00713544727325487	-0.00713544727325487	NA	NA	-0.790220725019135
cd8tcrpathway	41	ORAI1, CSK, IKBKG, RAP1A, LCP2, FYN, CBL, VAV1, PDPK1, HLA-A, ZAP70, PAG1, AKT1, MALT1, TRAF6, CHUK, CD3G, PLCG1, CARD11, MAP3K8, PTPN6, NRAS, IKBKB, CD247, LCK, B2M, RASGRP2, RASSF5, CD3E, SOS1, PRF1, GRAP2, BCL10, HRAS, PRKCE, PRKCQ, STIM1, PRKCA, CD3D, PTPRC, GRB2	-0.147659536025068	9916	-0.00326815135983744	NA	0.56223988823188	4.20828312197585e-08	8.16406925663316e-06	-8.16406925663316e-06	NA	NA	-1.35285573700929
cxcr4_pathway	80	MMP9, HGS, PTPN6, ITGA7, ITGA2, RAC1, TEP1, HLA-DRB1, RALB, ITGAV, PTK2, LCK, LIMK1, PTPRC, PDPK1, RHOC, PLCB2, PTPN11, RHOB, VAV1, RAP1B, PAG1, STAT3, VPS4B, PLCB3, ITCH, GNAO1, FGR, LYN, STAT2, ARRB2, ITGA5, PIK3CB, ITGA4, GNAI3, BAD, ITGA11, GNA13, HLA-DRA, SSH1, PAK1, GNAI1, RHOA, ITGA6, SRC, CD3E, GNG2, GNB1, STAT5B, CXCL12, CRK, PIK3R1, ITGA9, PIK3R2, GRK6, PTK2B, CSK, CD247, VPS4A, CD3D, GNAI2, BCAR1, PIK3CG, PIK3CA, FOXO1, CD4, PXN, UBQLN1, STAT5A, STAT1, YES1, PRKCZ, AKT1, FYN, CD3G, PIK3CD, ITGA3, CDC42, DNM1, JAK2	-0.0751631050821536	9916	-0.00326815135983744	NA	0.271220754336426	0.00101425366025587	0.0109314005605355	-0.0109314005605355	NA	NA	-0.465236545934182
dnapk_pathway	11	XRCC6, APLF, CSNK2A1, XRCC5, APTX, CSNK2A2, XRCC4, LIG4, NHEJ1, PNKP, CSNK2B	0.0886378351962874	9916	-0.00326815135983744	NA	-0.42082584619898	0.00673121838245672	0.0469825119544728	0.0469825119544728	NA	NA	1.06301451217209
epopathway	25	PTPN11, GRB2, NFKB1, CBL, TEC, CRKL, PLCG2, STAT5A, BCL2L1, MAPK14, STAT5B, PLCG1, MAPK8, IRS2, JAK2, BTK, RAP1A, GAB1, STAT1, RAPGEF1, LYN, PIK3R1, SOS1, PTPN6, HRAS	-0.138216130376131	9916	-0.00326815135983744	NA	0.512730939895119	4.27892572689714e-05	0.00118587370145435	-0.00118587370145435	NA	NA	-1.05254008039937
era_genomic_pathway	38	LMO4, APBB1, CEBPB, PHB2, HDAC4, SMAD4, TRIM59, DDX54, HDAC1, CALCOCO1, NCOR1, CTSD, TRAM1, NCOR2, UBE2M, SOD1, PCNA, EBAG9, MPG, NDUFV3, NEDD8, BRCA1, ANP32A, EP300, STAT5A, CHUK, JUN, DDX17, NCOA2, SAFB, MTA1, SRA1, MED1, UBA3, CCND1, C3, AP1B1, CD82	0.0732967689420801	9916	-0.00326815135983744	NA	-0.308374556803465	0.00127416738947816	0.0130099196609876	0.0130099196609876	NA	NA	0.633832276775261
