	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
cxcr4_pathway	80	MMP9, HGS, PTPN6, ITGA7, ITGA2, RAC1, TEP1, HLA-DRB1, RALB, ITGAV, PTK2, LCK, LIMK1, PTPRC, PDPK1, RHOC, PLCB2, PTPN11, RHOB, VAV1, RAP1B, PAG1, STAT3, VPS4B, PLCB3, ITCH, GNAO1, FGR, LYN, STAT2, ARRB2, ITGA5, PIK3CB, ITGA4, GNAI3, BAD, ITGA11, GNA13, HLA-DRA, SSH1, PAK1, GNAI1, RHOA, ITGA6, SRC, CD3E, GNG2, GNB1, STAT5B, CXCL12, CRK, PIK3R1, ITGA9, PIK3R2, GRK6, PTK2B, CSK, CD247, VPS4A, CD3D, GNAI2, BCAR1, PIK3CG, PIK3CA, FOXO1, CD4, PXN, UBQLN1, STAT5A, STAT1, YES1, PRKCZ, AKT1, FYN, CD3G, PIK3CD, ITGA3, CDC42, DNM1, JAK2	-0.0619496037619561	9916	0.00441800984751432	NA	0.232482855990319	0.00136304947011368	0.0264431597202053	-0.0264431597202053	NA	NA	-0.392297895268057
integrin1_pathway	45	ITGA3, ITGA9, IGSF8, COL5A1, COL11A1, ITGA7, CD81, NID1, VTN, TGFBI, PLAU, LAMB1, COL4A1, COL7A1, LAMA4, ITGA5, THBS2, COL4A5, LAMA2, SPP1, LAMC1, ITGA4, VCAM1, CD14, THBS1, ITGA11, LAMC2, LAMA3, CSPG4, FGA, COL6A1, LAMB3, FBN1, MDK, ITGAV, LAMA5, FGB, COL6A3, TGM2, F13A1, ITGA2, LAMB2, ITGA6, TNC, NPNT	-0.17380885841219	9916	0.00441800984751432	NA	0.622894536327372	5.13011855218792e-12	9.95242999124457e-10	-9.95242999124457e-10	NA	NA	-1.47381304850357
integrin2_pathway	22	TGFBI, F10, FGA, FCGR2A, ITGAL, ICAM3, SPON2, KNG1, JAM3, GP1BA, C3, VCAM1, ICAM1, PLAU, ITGAM, ITGB2, ITGAX, ICAM2, F11R, FGB, PROC, THY1	-0.11602032334874	9916	0.00441800984751432	NA	0.468984927940152	1.54510362992966e-06	0.000149875052103177	-0.000149875052103177	NA	NA	-1.76531455037985
integrin3_pathway	29	COL4A5, LAMB1, L1CAM, ITGA2B, LAMA4, COL4A1, EDIL3, F11R, FBN1, PDGFRB, FGB, SPHK1, TGFBR2, ITGB3, SPP1, LAMC1, TGFBI, TNC, VTN, PLAU, ITGAV, CD47, HMGB1, FGA, THY1, THBS1, SDC4, PVR, SDC1	-0.106468982431499	9916	0.00441800984751432	NA	0.396092695886829	0.000540417319674247	0.0149772800024006	-0.0149772800024006	NA	NA	-0.68715863791765
integrin4_pathway	10	LAMB3, LAMC1, LAMC2, LAMB1, LAMA2, ITGB4, LAMA3, LAMB2, LAMA5, ITGA6	-0.215635732144182	9916	0.00441800984751432	NA	0.766115369100444	2.81681887928098e-05	0.00110818646291282	-0.00110818646291282	NA	NA	-2.84527059756057
integrin_a4b1_pathway	25	TLN1, SRC, RAC1, ADAM28, PTPRA, DOCK1, PRKACA, CD14, CRK, PXN, VCAM1, MDK, THBS1, SPP1, ITGA4, BCAR1, PRKAR1B, MYH2, GIT1, PTK2B, THBS2, PRKAR1A, ARF6, IGSF8, CD81	-0.0918780961077407	9916	0.00441800984751432	NA	0.356450181524808	0.00100578300535337	0.0216802114487281	-0.0216802114487281	NA	NA	-0.648657575478103
integrin_cs_pathway	20	ITGA2B, ITGA3, ITGA5, ITGAE, ITGAL, ITGAM, ITGB5, ITGB8, ITGA11, ITGB4, ITGA6, ITGA2, ITGB2, ITGB3, ITGAV, ITGB6, ITGB7, ITGA9, ITGA4, ITGAX	-0.146862162315209	9916	0.00441800984751432	NA	0.549263816054861	0.000222301785998913	0.00718775774729819	-0.00718775774729819	NA	NA	-1.46362908577121
lis1pathway	23	CSNK2A1, LRPAP1, IQGAP1, LRP8, PLA2G7, CLIP1, YWHAE, MAP1B, RAC1, RHOA, PAFAH1B3, PAFAH1B1, DYNLT1, KATNA1, NDEL1, PPP2R5D, VLDLR, PAFAH1B2, CDK5, DYNC1H1, CDC42, ABL1, NUDC	0.101619228611583	9916	0.00441800984751432	NA	-0.384236280407598	0.000907704065846837	0.0216802114487281	0.0216802114487281	NA	NA	0.466592307858047
myc_activpathway	61	BAX, TK1, SMAD3, TAF9, RUVBL2, HMGA1, NCL, DDX18, KAT5, PFKM, E2F3, PRDX3, PTMA, KAT2A, SERPINI1, HSP90AA1, MMP9, MAX, NME1, RPL11, PIM1, TAF10, HSPD1, RUVBL1, BMI1, SLC2A1, TAF15, BIRC5, BCAT1, SUPT7L, LDHA, TRRAP, IREB2, CAD, MTDH, FOSL1, GPAM, SMAD4, GAPDH, HSPA4, SUPT3H, CDK4, EP300, POLR3D, SHMT1, CREBBP, PEG10, EIF4G1, NBN, PDCD10, NDUFAF2, ACTL6A, RCC1, CCNB1, CDCA7, UBTF, TFRC, EIF4A1, EIF4E, MTA1, EIF2S1	0.0812212243945532	9916	0.00441800984751432	NA	-0.25640296523585	0.00167721387841291	0.0295799538556458	0.0295799538556458	NA	NA	0.497594501486954
plexind1_pathway	16	SEMA4A, RRAS, ITGA7, ITGA11, ARF6, ITGA9, NRP1, ITGA5, ITGA6, ITGA3, ITGA4, ITGA2, PLXND1, ITGAV, IQSEC1, SEMA3C	-0.1891557829038	9916	0.00441800984751432	NA	0.642408733360226	6.47002096110239e-06	0.000418394688817954	-0.000418394688817954	NA	NA	-1.25157525364794
