	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
amb2_neutrophils_pathway	31	ITGAM, SELPLG, RAP1A, PLAU, NFKB1, LPA, PLG, SELP, MYH2, ICAM1, LYN, AKT1, MST1R, FYN, ROCK1, TLN1, MST1, ITGB2, THY1, RHOA, SRC, MMP2, JAM3, RAP1B, LRP1, MMP9, HMGB1, LCK, PRKCZ, YES1, FGR	-0.098861076104942	9916	0.00155618685894207	NA	0.501294746841208	3.53664106784723e-05	0.000980154810231948	-0.000980154810231948	NA	NA	-1.314093506114
angiopoietinreceptor_pathway	38	MAPK8, ANGPT2, CDKN1A, MAPK1, GRB2, NCK1, PLD2, ITGA5, PXN, RASA1, MAPK3, PLG, MAPK14, PTPN11, FYN, RAC1, AKT1, NOS3, CRK, STAT5A, FGF2, DOK2, ELF1, PIK3R1, STAT5B, RELA, GRB7, GRB14, ELF2, F2, RPS6KB1, NFKB1, MMP2, FES, ETS1, PAK1, PIK3CA, FOXO1	-0.0547167256867527	9916	0.00155618685894207	NA	0.292472558969024	0.0024313110516303	0.0205075801746208	-0.0205075801746208	NA	NA	-0.479364424901284
aurora_a_pathway	21	AKT1, CDH1, NDEL1, CDC25B, AURKAIP1, AURKA, PAK1, BRCA1, PPP2R5D, PRKACA, RASA1, AURKB, GIT1, TDRD7, TPX2, GSK3B, DLGAP5, BIRC5, CKAP5, TACC3, NFKBIA	-0.0837995421997575	9916	0.00155618685894207	NA	0.386042759177088	0.00804083566093949	0.0410505820584806	-0.0410505820584806	NA	NA	-0.770745911735454
avb3_integrin_pathway	52	SPP1, PIK3CA, VCL, COL11A1, IRS1, ILK, COL16A1, F11R, COL5A1, RHOA, COL6A1, PTK2B, VAV3, EDIL3, AKT1, PI4KB, FGF2, PIK3C2A, CSF1R, TLN1, COL8A1, PXN, COL4A5, TGFBR2, COL12A1, MAPK1, COL7A1, COL6A3, CSF1, PI4KA, COL10A1, BCAR1, COL14A1, MAPK3, COL15A1, COL4A1, HSP90AA1, PIK3R1, RPS6KB1, RAC1, PTPN11, SRC, ITGAV, CBL, CDKN1B, COL17A1, MFGE8, ROCK1, IGF1R, SDC1, ITGB3, VTN	-0.0352186278567801	9916	0.00155618685894207	NA	0.2078459056071	0.00592973610384195	0.0328676801184383	-0.0328676801184383	NA	NA	-0.28662313021203
avb3_opn_pathway	29	VAV3, SYK, PLAU, MAPK8, ITGB3, MMP9, ROCK2, MAPK3, RELA, PTK2B, CHUK, MMP2, ITGAV, PIK3R1, SPP1, BCAR1, MAP3K1, NFKB1, FOS, CDC42, MAPK1, JUN, NFKBIA, RHOA, RAC1, GSN, PIP5K1A, PIK3CA, ILK	-0.0622666798212021	9916	0.00155618685894207	NA	0.331620091527451	0.00462607446773633	0.0309468429910637	-0.0309468429910637	NA	NA	-0.552217443771282
bcr_5pathway	53	IKBKG, BCL10, BLNK, PTPRC, HRAS, PAG1, PPP3CA, NFKBIB, DAPP1, RASA1, PDPK1, GRB2, DOK1, CD79A, PTPN6, SOS1, TEP1, MAPK3, AKT1, CHUK, MAPK8, PIK3CA, PPP3CC, MAP4K1, TRAF6, IKBKB, LYN, MAP3K7, CARD11, NFATC1, NFKB1, CSNK2A1, PIK3R1, PPP3CB, ETS1, FCGR2B, SH3BP5, MAP3K1, MAPK1, MAP2K1, JUN, RELA, CSK, NFKBIA, SYK, MALT1, PLCG2, FOS, POU2F2, MAPK14, RAC1, RAF1, BTK	-0.0838483072273936	9916	0.00155618685894207	NA	0.41302792513719	1.02059994336878e-05	0.00049499097253386	-0.00049499097253386	NA	NA	-0.753230885386954
cd40_pathway	20	JAK3, RELA, MAP3K1, STAT5A, TRAF1, MAPK14, JUN, MAPK9, CD40, AKT1, MAPK8, NFKB1, C4BPA, TRAF2, NFKBIA, CBLB, TNFAIP3, TRAF6, BIRC2, MAP2K4	-0.0889077140517906	9916	0.00155618685894207	NA	0.419120613150464	0.00563958665329156	0.0321788179628989	-0.0321788179628989	NA	NA	-0.822651136069899
cd8tcrdownstreampathway	34	NRAS, CD3G, HLA-A, PRF1, MAP2K2, GZMB, STAT4, PPP3CA, HRAS, PRKCE, NFATC1, FOSL1, PPP3CB, JUN, PRKCQ, RAF1, PPP3R1, NFATC2, MAPK3, MAPK8, FOS, MAPK1, CD3D, NFATC3, CD3E, MAPK9, CD247, JUNB, BRAF, MAP2K1, PTPN7, PRKCA, TNFRSF18, B2M	-0.0916717310824352	9916	0.00155618685894207	NA	0.435143440191728	8.37836817355608e-05	0.00203175428208735	-0.00203175428208735	NA	NA	-0.985754328142227
cd8tcrpathway	41	ORAI1, CSK, IKBKG, RAP1A, LCP2, FYN, CBL, VAV1, PDPK1, HLA-A, ZAP70, PAG1, AKT1, MALT1, TRAF6, CHUK, CD3G, PLCG1, CARD11, MAP3K8, PTPN6, NRAS, IKBKB, CD247, LCK, B2M, RASGRP2, RASSF5, CD3E, SOS1, PRF1, GRAP2, BCL10, HRAS, PRKCE, PRKCQ, STIM1, PRKCA, CD3D, PTPRC, GRB2	-0.12617320526932	9916	0.00155618685894207	NA	0.620367181888842	1.17804510590958e-09	1.34237448712327e-07	-1.34237448712327e-07	NA	NA	-1.8183494217622
cdc42_pathway	58	ARHGDIA, PLD1, DIAPH3, MAPK8, APC, TNK2, MAP2K3, PIK3CA, EPS8, PRKCE, PAK2, TIAM1, CTNNA1, RPS6KB1, MAPK1, ENAH, MYL2, SRC, LIMK1, MAPK9, ACTR2, BCAR1, ARHGEF6, IQGAP3, MAPK3, ARPC5, PRKCZ, ATF2, PAK4, MAP2K4, ARPC1B, WASL, MAP2K6, PAK1, JUN, RAC1, GSK3B, MAP3K11, CDH1, YES1, BRAF, MAP3K1, ARPC2, DLG1, ACTR3, CTNNB1, RAF1, LIMK2, PIK3R1, ARPC4, MAP2K7, HRAS, CDC42, MAPK14, BAIAP2, IQGAP1, CBL, EXOC7	-0.051192484301534	9916	0.00155618685894207	NA	0.255793492926792	0.00087733525660405	0.0100119435165403	-0.0100119435165403	NA	NA	-0.411264167482695
