	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
amb2_neutrophils_pathway	31	ITGAM, SELPLG, RAP1A, PLAU, NFKB1, LPA, PLG, SELP, MYH2, ICAM1, LYN, AKT1, MST1R, FYN, ROCK1, TLN1, MST1, ITGB2, THY1, RHOA, SRC, MMP2, JAM3, RAP1B, LRP1, MMP9, HMGB1, LCK, PRKCZ, YES1, FGR	-0.0902525786694306	9916	0.00125870088920122	NA	0.443603690353811	5.95384117918485e-06	0.000288761297190465	-0.000288761297190465	NA	NA	-1.10483084612604
angiopoietinreceptor_pathway	38	MAPK8, ANGPT2, CDKN1A, MAPK1, GRB2, NCK1, PLD2, ITGA5, PXN, RASA1, MAPK3, PLG, MAPK14, PTPN11, FYN, RAC1, AKT1, NOS3, CRK, STAT5A, FGF2, DOK2, ELF1, PIK3R1, STAT5B, RELA, GRB7, GRB14, ELF2, F2, RPS6KB1, NFKB1, MMP2, FES, ETS1, PAK1, PIK3CA, FOXO1	-0.0528865686259304	9916	0.00125870088920122	NA	0.264511369185368	0.00279660545848659	0.0258353075688761	-0.0258353075688761	NA	NA	-0.497483870705051
bcr_5pathway	53	IKBKG, BCL10, BLNK, PTPRC, HRAS, PAG1, PPP3CA, NFKBIB, DAPP1, RASA1, PDPK1, GRB2, DOK1, CD79A, PTPN6, SOS1, TEP1, MAPK3, AKT1, CHUK, MAPK8, PIK3CA, PPP3CC, MAP4K1, TRAF6, IKBKB, LYN, MAP3K7, CARD11, NFATC1, NFKB1, CSNK2A1, PIK3R1, PPP3CB, ETS1, FCGR2B, SH3BP5, MAP3K1, MAPK1, MAP2K1, JUN, RELA, CSK, NFKBIA, SYK, MALT1, PLCG2, FOS, POU2F2, MAPK14, RAC1, RAF1, BTK	-0.0810452036173542	9916	0.00125870088920122	NA	0.398962606650582	2.10890299523481e-06	0.000136375727025184	-0.000136375727025184	NA	NA	-0.806936243422814
cd40_pathway	20	JAK3, RELA, MAP3K1, STAT5A, TRAF1, MAPK14, JUN, MAPK9, CD40, AKT1, MAPK8, NFKB1, C4BPA, TRAF2, NFKBIA, CBLB, TNFAIP3, TRAF6, BIRC2, MAP2K4	-0.0878399627923686	9916	0.00125870088920122	NA	0.414733763614361	0.0037563771528708	0.0331244167116789	-0.0331244167116789	NA	NA	-0.912561113485886
cd8tcrdownstreampathway	34	NRAS, CD3G, HLA-A, PRF1, MAP2K2, GZMB, STAT4, PPP3CA, HRAS, PRKCE, NFATC1, FOSL1, PPP3CB, JUN, PRKCQ, RAF1, PPP3R1, NFATC2, MAPK3, MAPK8, FOS, MAPK1, CD3D, NFATC3, CD3E, MAPK9, CD247, JUNB, BRAF, MAP2K1, PTPN7, PRKCA, TNFRSF18, B2M	-0.0793760357331974	9916	0.00125870088920122	NA	0.367421635858861	0.00142634333726477	0.0153728115238536	-0.0153728115238536	NA	NA	-0.791174251342851
cd8tcrpathway	41	ORAI1, CSK, IKBKG, RAP1A, LCP2, FYN, CBL, VAV1, PDPK1, HLA-A, ZAP70, PAG1, AKT1, MALT1, TRAF6, CHUK, CD3G, PLCG1, CARD11, MAP3K8, PTPN6, NRAS, IKBKB, CD247, LCK, B2M, RASGRP2, RASSF5, CD3E, SOS1, PRF1, GRAP2, BCL10, HRAS, PRKCE, PRKCQ, STIM1, PRKCA, CD3D, PTPRC, GRB2	-0.116035177470947	9916	0.00125870088920122	NA	0.558378181603518	7.25264619472199e-08	1.40701336177607e-05	-1.40701336177607e-05	NA	NA	-1.46544730738325
cxcr3pathway	31	MAP2K1, GNG2, ITGB2, MAPK14, DNM1, NRAS, MAPK1, PIK3R1, PIK3CB, MAP2K2, GNAI3, PF4, GNAO1, PDPK1, MAP2K6, GNAI2, SRC, PIK3R2, CXCL13, ARRB1, AKT1, CXCL10, HRAS, MAPK3, ITGAL, RAF1, PIK3CA, GNAI1, GNB1, PIK3CD, MAP2K3	-0.0749150106872681	9916	0.00125870088920122	NA	0.349828885216463	0.0026814960383561	0.0258353075688761	-0.0258353075688761	NA	NA	-0.603534908100538
cxcr4_pathway	80	MMP9, HGS, PTPN6, ITGA7, ITGA2, RAC1, TEP1, HLA-DRB1, RALB, ITGAV, PTK2, LCK, LIMK1, PTPRC, PDPK1, RHOC, PLCB2, PTPN11, RHOB, VAV1, RAP1B, PAG1, STAT3, VPS4B, PLCB3, ITCH, GNAO1, FGR, LYN, STAT2, ARRB2, ITGA5, PIK3CB, ITGA4, GNAI3, BAD, ITGA11, GNA13, HLA-DRA, SSH1, PAK1, GNAI1, RHOA, ITGA6, SRC, CD3E, GNG2, GNB1, STAT5B, CXCL12, CRK, PIK3R1, ITGA9, PIK3R2, GRK6, PTK2B, CSK, CD247, VPS4A, CD3D, GNAI2, BCAR1, PIK3CG, PIK3CA, FOXO1, CD4, PXN, UBQLN1, STAT5A, STAT1, YES1, PRKCZ, AKT1, FYN, CD3G, PIK3CD, ITGA3, CDC42, DNM1, JAK2	-0.0665868699062222	9916	0.00125870088920122	NA	0.324430213795885	2.35126089964677e-05	0.000912289229062946	-0.000912289229062946	NA	NA	-0.615503455035235
epopathway	25	PTPN11, GRB2, NFKB1, CBL, TEC, CRKL, PLCG2, STAT5A, BCL2L1, MAPK14, STAT5B, PLCG1, MAPK8, IRS2, JAK2, BTK, RAP1A, GAB1, STAT1, RAPGEF1, LYN, PIK3R1, SOS1, PTPN6, HRAS	-0.105208022025436	9916	0.00125870088920122	NA	0.490108914885034	0.000423998439114115	0.00548371314587589	-0.00548371314587589	NA	NA	-0.991531189499712
erbb1_downstream_pathway	83	PLD1, PRKCD, PPP2R1A, MAPK8, PIK3CA, EPS8, MAP3K2, HRAS, NCKAP1, BAIAP2, PEBP1, WASF2, GRB2, YWHAQ, RIN1, ATF2, STAT1, YWHAH, BRAF, PRKCZ, PPP2CA, RAB5A, RAF1, USP6NL, RAC1, BAD, CREB1, CYFIP2, PRKCA, SH2D2A, PPP2R2A, PIK3R2, SMAD1, MAPK3, MAPK9, MAP3K1, RALA, MAP2K2, ARPC1B, ACTR2, YWHAG, YWHAB, ARF4, SRC, IQGAP1, SLC9A1, JUN, PLD2, PDPK1, SOS1, AKT1, GAB1, NRAS, MEF2C, RPS6KA4, MAP2K5, PPP5C, YWHAE, ATF1, MAPK1, ARPC4, CDC42, CAPN2, MAPK7, STAT3, KSR1, PIK3R1, ARPC2, SFN, ZFP36, DIAPH3, RPS6KA5, ACTR3, RPS6KA3, RPS6, WASL, SRF, MAP2K1, FOS, MAP2K4, PIK3CD, PIK3CB, ARPC5	-0.0500190172844221	9916	0.00125870088920122	NA	0.243831315581001	0.000950323138064202	0.0108448640461444	-0.0108448640461444	NA	NA	-0.483022891188736
