	ingroup_n	ingroupnames	ingroup_mean	outgroup_n	outgroup_mean	score	oddsratio	pvalue	BH_pvalue	SignedBH_pvalue	background_n	background_mean	zscore
alphasynuclein_pathway	27	CSNK2A1, PTK2B, PLD1, TOR1A, PARK7, PLCB2, SRC, FYN, MAPK3, BAD, FGR, MAPK1, SYK, FKBP1A, LYN, KLK6, MAOB, PLD2, PPP2R5D, UBE2L3, YES1, PRKCD, LCK, GRK5, UCHL1, STUB1, SNCA	-0.04875786826895	9916	0.0034116564446237	NA	0.286084592054741	0.00620333058703593	0.0418380040615716	-0.0418380040615716	NA	NA	-0.367526668706216
amb2_neutrophils_pathway	31	ITGAM, SELPLG, RAP1A, PLAU, NFKB1, LPA, PLG, SELP, MYH2, ICAM1, LYN, AKT1, MST1R, FYN, ROCK1, TLN1, MST1, ITGB2, THY1, RHOA, SRC, MMP2, JAM3, RAP1B, LRP1, MMP9, HMGB1, LCK, PRKCZ, YES1, FGR	-0.0993183192408433	9916	0.0034116564446237	NA	0.483135759736626	0.000107221159974413	0.00260011312937952	-0.00260011312937952	NA	NA	-1.22950541078703
angiopoietinreceptor_pathway	38	MAPK8, ANGPT2, CDKN1A, MAPK1, GRB2, NCK1, PLD2, ITGA5, PXN, RASA1, MAPK3, PLG, MAPK14, PTPN11, FYN, RAC1, AKT1, NOS3, CRK, STAT5A, FGF2, DOK2, ELF1, PIK3R1, STAT5B, RELA, GRB7, GRB14, ELF2, F2, RPS6KB1, NFKB1, MMP2, FES, ETS1, PAK1, PIK3CA, FOXO1	-0.0528676585844011	9916	0.0034116564446237	NA	0.276199019129106	0.00378141159224199	0.0305664103706228	-0.0305664103706228	NA	NA	-0.458386131900582
bcr_5pathway	53	IKBKG, BCL10, BLNK, PTPRC, HRAS, PAG1, PPP3CA, NFKBIB, DAPP1, RASA1, PDPK1, GRB2, DOK1, CD79A, PTPN6, SOS1, TEP1, MAPK3, AKT1, CHUK, MAPK8, PIK3CA, PPP3CC, MAP4K1, TRAF6, IKBKB, LYN, MAP3K7, CARD11, NFATC1, NFKB1, CSNK2A1, PIK3R1, PPP3CB, ETS1, FCGR2B, SH3BP5, MAP3K1, MAPK1, MAP2K1, JUN, RELA, CSK, NFKBIA, SYK, MALT1, PLCG2, FOS, POU2F2, MAPK14, RAC1, RAF1, BTK	-0.0835000486685475	9916	0.0034116564446237	NA	0.40477368385	6.62528050066058e-06	0.000428434805709384	-0.000428434805709384	NA	NA	-0.760062546510906
cd40_pathway	20	JAK3, RELA, MAP3K1, STAT5A, TRAF1, MAPK14, JUN, MAPK9, CD40, AKT1, MAPK8, NFKB1, C4BPA, TRAF2, NFKBIA, CBLB, TNFAIP3, TRAF6, BIRC2, MAP2K4	-0.0865185786803023	9916	0.0034116564446237	NA	0.405748285599032	0.00217913438221085	0.0183805247890828	-0.0183805247890828	NA	NA	-0.859942002617545
cd8tcrdownstreampathway	34	NRAS, CD3G, HLA-A, PRF1, MAP2K2, GZMB, STAT4, PPP3CA, HRAS, PRKCE, NFATC1, FOSL1, PPP3CB, JUN, PRKCQ, RAF1, PPP3R1, NFATC2, MAPK3, MAPK8, FOS, MAPK1, CD3D, NFATC3, CD3E, MAPK9, CD247, JUNB, BRAF, MAP2K1, PTPN7, PRKCA, TNFRSF18, B2M	-0.0900998834434138	9916	0.0034116564446237	NA	0.421007047433738	2.10471767942977e-05	0.000813365066397398	-0.000813365066397398	NA	NA	-0.958405567775873
cd8tcrpathway	41	ORAI1, CSK, IKBKG, RAP1A, LCP2, FYN, CBL, VAV1, PDPK1, HLA-A, ZAP70, PAG1, AKT1, MALT1, TRAF6, CHUK, CD3G, PLCG1, CARD11, MAP3K8, PTPN6, NRAS, IKBKB, CD247, LCK, B2M, RASGRP2, RASSF5, CD3E, SOS1, PRF1, GRAP2, BCL10, HRAS, PRKCE, PRKCQ, STIM1, PRKCA, CD3D, PTPRC, GRB2	-0.128311627737165	9916	0.0034116564446237	NA	0.599848483357766	6.46029674200577e-10	1.25329756794912e-07	-1.25329756794912e-07	NA	NA	-1.6162512037136
cdc42_pathway	58	ARHGDIA, PLD1, DIAPH3, MAPK8, APC, TNK2, MAP2K3, PIK3CA, EPS8, PRKCE, PAK2, TIAM1, CTNNA1, RPS6KB1, MAPK1, ENAH, MYL2, SRC, LIMK1, MAPK9, ACTR2, BCAR1, ARHGEF6, IQGAP3, MAPK3, ARPC5, PRKCZ, ATF2, PAK4, MAP2K4, ARPC1B, WASL, MAP2K6, PAK1, JUN, RAC1, GSK3B, MAP3K11, CDH1, YES1, BRAF, MAP3K1, ARPC2, DLG1, ACTR3, CTNNB1, RAF1, LIMK2, PIK3R1, ARPC4, MAP2K7, HRAS, CDC42, MAPK14, BAIAP2, IQGAP1, CBL, EXOC7	-0.0463797066740344	9916	0.0034116564446237	NA	0.232831647911421	0.0062541346277607	0.0418380040615716	-0.0418380040615716	NA	NA	-0.368745887635229
cxcr3pathway	31	MAP2K1, GNG2, ITGB2, MAPK14, DNM1, NRAS, MAPK1, PIK3R1, PIK3CB, MAP2K2, GNAI3, PF4, GNAO1, PDPK1, MAP2K6, GNAI2, SRC, PIK3R2, CXCL13, ARRB1, AKT1, CXCL10, HRAS, MAPK3, ITGAL, RAF1, PIK3CA, GNAI1, GNB1, PIK3CD, MAP2K3	-0.0721986198947837	9916	0.0034116564446237	NA	0.344207471795339	0.00167877515755188	0.016241471963142	-0.016241471963142	NA	NA	-0.523881404490827
cxcr4_pathway	80	MMP9, HGS, PTPN6, ITGA7, ITGA2, RAC1, TEP1, HLA-DRB1, RALB, ITGAV, PTK2, LCK, LIMK1, PTPRC, PDPK1, RHOC, PLCB2, PTPN11, RHOB, VAV1, RAP1B, PAG1, STAT3, VPS4B, PLCB3, ITCH, GNAO1, FGR, LYN, STAT2, ARRB2, ITGA5, PIK3CB, ITGA4, GNAI3, BAD, ITGA11, GNA13, HLA-DRA, SSH1, PAK1, GNAI1, RHOA, ITGA6, SRC, CD3E, GNG2, GNB1, STAT5B, CXCL12, CRK, PIK3R1, ITGA9, PIK3R2, GRK6, PTK2B, CSK, CD247, VPS4A, CD3D, GNAI2, BCAR1, PIK3CG, PIK3CA, FOXO1, CD4, PXN, UBQLN1, STAT5A, STAT1, YES1, PRKCZ, AKT1, FYN, CD3G, PIK3CD, ITGA3, CDC42, DNM1, JAK2	-0.0672169390686702	9916	0.0034116564446237	NA	0.328073315853167	1.02608630847545e-05	0.000497651859610593	-0.000497651859610593	NA	NA	-0.59490693239892
epopathway	25	PTPN11, GRB2, NFKB1, CBL, TEC, CRKL, PLCG2, STAT5A, BCL2L1, MAPK14, STAT5B, PLCG1, MAPK8, IRS2, JAK2, BTK, RAP1A, GAB1, STAT1, RAPGEF1, LYN, PIK3R1, SOS1, PTPN6, HRAS	-0.112940410262046	9916	0.0034116564446237	NA	0.524784187172247	2.51556206102288e-05	0.000813365066397398	-0.000813365066397398	NA	NA	-1.07744931579655
erbb1_downstream_pathway	83	PLD1, PRKCD, PPP2R1A, MAPK8, PIK3CA, EPS8, MAP3K2, HRAS, NCKAP1, BAIAP2, PEBP1, WASF2, GRB2, YWHAQ, RIN1, ATF2, STAT1, YWHAH, BRAF, PRKCZ, PPP2CA, RAB5A, RAF1, USP6NL, RAC1, BAD, CREB1, CYFIP2, PRKCA, SH2D2A, PPP2R2A, PIK3R2, SMAD1, MAPK3, MAPK9, MAP3K1, RALA, MAP2K2, ARPC1B, ACTR2, YWHAG, YWHAB, ARF4, SRC, IQGAP1, SLC9A1, JUN, PLD2, PDPK1, SOS1, AKT1, GAB1, NRAS, MEF2C, RPS6KA4, MAP2K5, PPP5C, YWHAE, ATF1, MAPK1, ARPC4, CDC42, CAPN2, MAPK7, STAT3, KSR1, PIK3R1, ARPC2, SFN, ZFP36, DIAPH3, RPS6KA5, ACTR3, RPS6KA3, RPS6, WASL, SRF, MAP2K1, FOS, MAP2K4, PIK3CD, PIK3CB, ARPC5	-0.0476336114473885	9916	0.0034116564446237	NA	0.233768474462594	0.000754800857261984	0.00977391377965059	-0.00977391377965059	NA	NA	-0.455583598925107
fak_pathway	51	ASAP1, JUN, RAP1A, ARHGAP26, PLCG1, MAPK8IP3, ITGA5, CAPN2, MAP2K4, RAC1, GRB7, WASL, ELMO1, GIT2, PXN, PIK3R1, YES1, RAPGEF1, SOS1, FYN, NCK2, VCL, SRC, BRAF, RASA1, ACTA1, RAP1B, DOCK1, RAF1, TLN1, ACTN1, MMP14, PAK1, MAPK9, MAPK8, PIK3CA, ITGAV, GRB2, NCK1, ARHGEF11, RHOA, ITGB5, CCND1, MAP2K1, MAPK1, ETS1, CRK, RRAS, BCAR1, ROCK2, SH3GL1	-0.0555477078180083	9916	0.0034116564446237	NA	0.291982061077759	0.00153815876455299	0.0161795646933744	-0.0161795646933744	NA	NA	-0.56681567365924
fcer1pathway	47	SOS1, JUN, GRB2, DOK1, PIK3R1, LYN, HRAS, RASA1, MAP2K1, AKT1, MAPK3, PLA2G4A, RAF1, PAK2, FCGR2B, BTK, LAT2, HCLS1, FYN, MAPK1, RELA, GAB2, SPHK1, CHUK, CBLB, MAP3K1, PTPN11, LCP2, IKBKB, FCER1G, SYK, VAV1, FER, WIPF1, PIK3CA, MAP2K7, CBL, NFATC2, MAP2K2, MAPK8, PLD2, MAP2K4, NFKB1, FOS, PXN, IKBKG, PLCG1	-0.0728332982328036	9916	0.0034116564446237	NA	0.362264296687923	0.000381122490498265	0.00672161483242394	-0.00672161483242394	NA	NA	-0.656437233874245
hdac_classi_pathway	48	MBD3, CREBBP, SIN3A, CHD3, STAT3, PRKACA, SIRT2, WDR77, FKBP3, SUMO1, SIRT5, YY1, NCOR2, HDAC6, RANGAP1, HDAC1, RANBP2, RELA, NR2C1, RBBP4, RBBP7, HDAC3, NCOR1, SMG5, HDAC10, HDAC4, MBD2, PRMT5, MTA2, NFKB1, NFKBIA, TFCP2, UBE2I, MAX, CHD4, GATAD2B, SIRT3, HDAC2, SAP18, SIN3B, SAP30, SIRT1, HDAC7, SIRT7, GATAD2A, EP300, HDAC8, HDAC5	0.0679372282032948	9916	0.0034116564446237	NA	-0.308470317332258	0.000755714982962674	0.00977391377965059	0.00977391377965059	NA	NA	0.64326724673693
il12_2pathway	35	MAP2K6, CD3G, RAB7A, LCK, GZMB, IL18, STAT1, JAK2, ATF2, STAT3, HLA-DRB1, NFKB1, CD4, TYK2, RIPK2, IL1B, RELB, CD247, B2M, HLA-DRA, CD3D, GZMA, NFKB2, PPP3CB, FOS, HLA-A, MAP2K3, STAT5A, RELA, STAT4, CD3E, PPP3CA, MAPK14, STAT6, PPP3R1	-0.10114373790001	9916	0.0034116564446237	NA	0.455563879444477	6.74451113351626e-05	0.00186919308557451	-0.00186919308557451	NA	NA	-0.849264382170726
il12_stat4pathway	21	MAPK9, MAPK8, CD247, PPP3CB, PPP3R1, HLA-DRB1, JUN, IL18, CREBBP, PIAS2, HLA-DRA, TGFB1, CD3G, CD3E, CD4, CD3D, PRF1, FOS, STAT4, STAT3, PPP3CA	-0.0961928271899509	9916	0.0034116564446237	NA	0.455569642136806	0.000856430864837443	0.010384224236154	-0.010384224236154	NA	NA	-0.99213043867667
il2_1pathway	40	STAM2, IRS2, STAT3, NRAS, HRAS, MAPK1, SOS1, DOK2, RASA1, PIK3CA, STAT1, SYK, MAP2K1, RAF1, PTPN11, JAK1, JAK3, LCK, FYN, STAT5B, IKZF3, PIK3R1, GRB2, GAB2, MAPK9, MAP2K2, JUN, PTK2B, IRS1, MAPK8, STAT5A, PPP2R5D, STAM, MAPKAPK2, MAPK3, CDK2, PRKCE, FOS, MAPK14, RHOA	-0.0621256558009662	9916	0.0034116564446237	NA	0.303348124243647	0.00752636956490271	0.0478514307314369	-0.0478514307314369	NA	NA	-0.511926595864457
il4_2pathway	33	CEBPB, SELP, CBL, ALOX15, JAK1, JAK2, FES, IGHG1, TFF3, STAT5B, PIK3R1, THY1, STAT5A, MAPK14, PIGR, SPI1, AKT1, ARG1, PTPN6, PARP14, JAK3, IRS2, GRB2, IRS1, RPS6KB1, STAT6, ITGB3, ETS1, SP1, HMGA1, PIK3CA, DOK2, GTF3A	-0.0608304826424215	9916	0.0034116564446237	NA	0.301172271321525	0.00601253515029232	0.0418380040615716	-0.0418380040615716	NA	NA	-0.447002941875021
